epoch,train_loss,val_loss,mean_dice,std_dice,median_dice,mean_iou,std_iou,median_iou,mean_precision,std_precision,median_precision,mean_recall,std_recall,median_recall,mean_specificity,std_specificity,median_specificity,global_dice,global_iou,failure_rate_dice_lt_0_10
1,0.6466007581864944,0.6273905689066107,0.44215403721583163,0.23220430112538895,0.4320268779993057,0.31377108967122197,0.20572338568561074,0.2755706161260605,0.37516388671197504,0.2735292390836325,0.2898935228586197,0.7836284653537653,0.2297487186230921,0.8546081483364105,0.7566744004460898,0.13832767264196966,0.7416724562644958,0.4736102574693834,0.3102813418309505,0.056818181818181816
2,0.6048275286501105,0.594140041958202,0.4954051219180904,0.22370444255845637,0.510186493396759,0.3594506855165078,0.20851403820520625,0.34244999289512634,0.41869647919454356,0.2666841544977085,0.3686692714691162,0.814954948484559,0.2048642234413231,0.8890936374664307,0.8031304854560982,0.1184850623494269,0.8117435872554779,0.5394198148411686,0.3693188640530027,0.056818181818181816
3,0.5803985144152786,0.5836292451078241,0.4784615070834248,0.23374536927296122,0.45734696090221405,0.346838908598081,0.21588944017422243,0.29646898806095123,0.3842640123647553,0.2650850620811316,0.31776879727840424,0.8755068072879856,0.17552516732817794,0.9561776220798492,0.740826568481597,0.1577638403902924,0.7667936682701111,0.5204358118888924,0.3517493976069553,0.056818181818181816
4,0.558817187945048,0.5626102577556263,0.5146382361312762,0.23634844903829247,0.5261401534080505,0.38129477135169326,0.22468130883252885,0.35698141157627106,0.4323614234613961,0.2761391199425833,0.3806973844766617,0.8449628309097275,0.21276309734067736,0.9296967089176178,0.7987825220281427,0.13818091042339398,0.8169686496257782,0.5655597170992945,0.39427205429259254,0.056818181818181816
5,0.5395921860078369,0.5504093982956626,0.556288408471338,0.26756154956587824,0.5946464538574219,0.429777740523328,0.24686175718683154,0.42312946915626526,0.627263573232864,0.2887090577866958,0.6854789555072784,0.6097777916090185,0.30136955825104217,0.6869365572929382,0.9374397559599443,0.0720617559571356,0.9626147150993347,0.5862330908559744,0.4146603567139186,0.10227272727272728
6,0.5246612923313873,0.522700922055678,0.562569551561451,0.22521599603618667,0.5700160264968872,0.4256383332275701,0.22466945871048197,0.39861732721328735,0.496438094020546,0.2816778043498272,0.44131623208522797,0.8429219880913892,0.20670837601043388,0.9304569363594055,0.8458476713435217,0.12675499329378503,0.8678044080734253,0.5977986157002243,0.4263286446538241,0.022727272727272728
7,0.5013401297607807,0.5342243097045205,0.5329427791452459,0.24893027683160293,0.5466185510158539,0.4031645839105212,0.24181924633926713,0.3761270046234131,0.46105692169988866,0.28523678737586194,0.42358507215976715,0.8348771435293284,0.23848319296033027,0.9431642293930054,0.8095271289348602,0.15620329466562125,0.8528526127338409,0.5619933071474469,0.3908141109083738,0.06818181818181818
8,0.4810301390561191,0.5013044747439298,0.5828881551596251,0.2577183920257502,0.6382878422737122,0.456383581887084,0.25408291169666486,0.46873949468135834,0.5604046094442972,0.28642092499085464,0.5378730297088623,0.8092501054263928,0.266358026407943,0.9639616012573242,0.8586026325144551,0.17021635829894313,0.9325562715530396,0.5950318488430825,0.42351981313819864,0.06818181818181818
9,0.4594641520519449,0.48912170800295746,0.593410081296438,0.25626270784763167,0.6190652251243591,0.46620811772054255,0.2507116176336377,0.4483734965324402,0.5623534762936289,0.2974276212018398,0.5416848063468933,0.8065948692519581,0.2790438278194573,0.9532759189605713,0.8818890743634917,0.10974599864125704,0.9061456918716431,0.6324231259510781,0.4624406407800004,0.07954545454545454
10,0.4391197520073014,0.44996396519921045,0.6672337672850719,0.2537117642190862,0.7398276627063751,0.5491149681628521,0.26189294796976914,0.5870991945266724,0.6930920789242065,0.26394237071492516,0.751716136932373,0.7710916503271339,0.27047955829424436,0.909560889005661,0.9329248649830167,0.09385984405406102,0.970358282327652,0.6741129537957768,0.5084241193287603,0.045454545454545456
