epoch,train_loss,val_loss,mean_dice,std_dice,median_dice,mean_iou,std_iou,median_iou,mean_precision,std_precision,median_precision,mean_recall,std_recall,median_recall,mean_specificity,std_specificity,median_specificity,global_dice,global_iou,failure_rate_dice_lt_0_10
1,0.6323656764897433,0.6195840564641085,0.55238282346082,0.2414388285859647,0.5474106073379517,0.42074751953425055,0.24045869001076767,0.376853346824646,0.45425627433525567,0.2774748807025382,0.3875590115785599,0.9358068044212732,0.12206877012779743,0.9994581937789917,0.8237867802381516,0.08550414658726233,0.8232083022594452,0.613204472571564,0.44217367336672564,0.022727272727272728
2,0.5971384644508362,0.596570757302371,0.6253045836717568,0.22798936629286343,0.6613098680973053,0.4930660715538331,0.23619912567751536,0.49400627613067627,0.5327641548461873,0.2696723691768832,0.5086060762405396,0.9318213574588299,0.1358497132962991,0.9997290968894958,0.8818315850062803,0.06742112078409783,0.890249639749527,0.6865164267042448,0.5226684525499398,0.022727272727272728
3,0.5775611539079686,0.576694206757979,0.6837833895432678,0.2184413608067495,0.7451770901679993,0.5569692845244638,0.23183037008843196,0.593859076499939,0.5935145966412331,0.2559044520461375,0.6026446521282196,0.9393789971416647,0.12491278605132301,0.9994424879550934,0.9105776013298468,0.05587124261824777,0.9263262450695038,0.7430833913529454,0.5911954589834024,0.011363636363636364
4,0.5600328547785981,0.565965554930947,0.6592725734226406,0.22184689837143134,0.7064832150936127,0.5289172881748527,0.23084822672346494,0.5461733937263489,0.5554915001319553,0.25306333423803484,0.5551157593727112,0.9519213397394527,0.09519699623732313,0.9966329038143158,0.8813859468156641,0.08534421317648026,0.9113171696662903,0.7143811886726861,0.5556710763551663,0.022727272727272728
5,0.543348308765527,0.5433333136818626,0.7491290998560461,0.20564054451890856,0.8236484527587891,0.6349825866689737,0.2256450527603499,0.7001824080944061,0.6750124974853613,0.24097599984293339,0.7156801521778107,0.9390018054030158,0.12429905736211211,0.9986835718154907,0.9378011572090063,0.049781136186408684,0.953678548336029,0.7972085626903818,0.6627986681328341,0.011363636363636364
6,0.5243650807274712,0.5299069447950884,0.7763650355521928,0.19367476895783353,0.8537479341030121,0.6686045556244525,0.22142177004879537,0.7448170185089111,0.7172668386589397,0.23213695284203714,0.7633845806121826,0.9287375174462795,0.1361638451759785,0.991391658782959,0.9503567564216527,0.047694024347804106,0.9684816300868988,0.8174789072779974,0.691301755469141,0.011363636363636364
7,0.5082263808057765,0.5158318497917869,0.7659406520595605,0.196676038836037,0.8324142396450043,0.6539631703106518,0.21453757267999077,0.7129363417625427,0.6970352117734199,0.22265818224352912,0.760287880897522,0.9306266802278432,0.14652797118997618,0.9982677102088928,0.9456144998019392,0.04200406216442213,0.9630013108253479,0.810630304099041,0.6815629378256446,0.011363636363636364
8,0.49080424597769073,0.4965292052789168,0.8015266537496989,0.19096128330247839,0.861665666103363,0.7020863005468114,0.2145373763590659,0.7569535970687866,0.7554266164502637,0.2168745748818669,0.8155781328678131,0.9233450459485705,0.15029082952776113,0.9934478402137756,0.9610229852524671,0.03584672648930631,0.9748705327510834,0.8335295672760024,0.7145741065459443,0.011363636363636364
9,0.4720275408089763,0.48532346703789453,0.8206595875089988,0.1873615382583076,0.8878417909145355,0.7285881116933358,0.21178696724377263,0.7983060777187347,0.7943689395588908,0.20889762673734352,0.8565820753574371,0.903963942673396,0.17815756791296983,0.9813095927238464,0.9723296903751113,0.02991906760607235,0.9829097390174866,0.8462550783396955,0.7334854199157779,0.011363636363636364
10,0.45650178735906427,0.46807605028152466,0.8263535360297696,0.18080078987816678,0.8816814124584198,0.7346791047179564,0.2040936294921442,0.7884008884429932,0.8028725807301023,0.19872058896561512,0.8570018708705902,0.9050382117910142,0.1782861874678934,0.9889362752437592,0.9751545414328575,0.020621785680439254,0.9827441871166229,0.8489144749587041,0.7374903571376747,0.011363636363636364
11,0.437666517917556,0.4470821293917569,0.8176555459133603,0.18344750207905608,0.8818647265434265,0.7236652455546639,0.2123260478563436,0.7886932194232941,0.772421293722635,0.21098013230319088,0.8325293958187103,0.9274117093194615,0.15225262573219236,0.9928750693798065,0.9641161357814615,0.04216467486436383,0.9795655310153961,0.8484935967259456,0.7368553004251214,0.0
12,0.4221963021490309,0.4311084042895924,0.809896601787345,0.19479619169541287,0.8793463408946991,0.7159257778813216,0.2218619004664961,0.7846978902816772,0.7660253905183212,0.22190211563100026,0.8274100124835968,0.9268697479909117,0.14478050459624864,0.9928382635116577,0.9631517678499222,0.03725767540691644,0.9788970649242401,0.8431442264639113,0.7288239776741866,0.011363636363636364
13,0.402824853405808,0.4356651306152344,0.8240678044755689,0.19845681168592333,0.9121659696102142,0.7389540669656444,0.2319299621787876,0.8385159373283386,0.8538694255561992,0.1947252181446456,0.928318977355957,0.8518054297786545,0.222438206396388,0.9604246914386749,0.9868948628956621,0.012909226275096287,0.9908896088600159,0.8183887139426868,0.692604009118277,0.011363636363636364
14,0.3864813139944365,0.40453043850985443,0.8215057207271457,0.18843077803303465,0.8962098360061646,0.7307733912867579,0.2164335532009076,0.8119386732578278,0.8019866486587985,0.20700686708531685,0.869167149066925,0.8976310776038603,0.18028295244408388,0.9840179979801178,0.9730781418356028,0.028025900538491175,0.9838007092475891,0.8434973575513074,0.7293518636199208,0.011363636363636364
15,0.3653185457894296,0.3834019249135798,0.8313955706967548,0.17229879759168407,0.8961344957351685,0.740846543064849,0.2046576716742667,0.8118158578872681,0.8108630144799297,0.19518498539981083,0.8769893646240234,0.9062411515888843,0.16065091400486886,0.9871770441532135,0.9751904803243551,0.027166736339401705,0.9838031828403473,0.8484806842283562,0.736835824295132,0.0
16,0.3532454251038908,0.3748156482523138,0.8418035634200681,0.1834241789930527,0.9243313670158386,0.7605587918819352,0.21810970631313628,0.8593118488788605,0.862545320510187,0.18956071343194658,0.9342178404331207,0.8725131833079186,0.19017201157054178,0.9608961045742035,0.9851925840431993,0.019864326856499793,0.992181122303009,0.8493935835459483,0.738213842196036,0.0
17,0.33398464653227067,0.3540618798949502,0.8309735550799153,0.171972178120084,0.9011328518390656,0.7404253592883999,0.2056791198091502,0.8200567066669464,0.8043395668606866,0.19384632798659288,0.8637607395648956,0.9102986813946203,0.1576745206281484,0.9882606565952301,0.9714988402344964,0.029633618597460734,0.9836113154888153,0.8514161037878758,0.7412746309570776,0.0
18,0.3152060767616888,0.34134957465258514,0.8466131385754455,0.1868642383329141,0.9300467371940613,0.7689610091461376,0.22077316874844485,0.8692421019077301,0.871020457284017,0.18294706987754697,0.936998575925827,0.8712781838734042,0.19945843040721425,0.9665036499500275,0.9857214465737343,0.0169812606184278,0.9927813708782196,0.8465670887916031,0.7339543380158147,0.0
19,0.2970770272341641,0.33109900626269256,0.8471853830004957,0.18358341911978643,0.9191714823246002,0.7683017241387543,0.21518945697564515,0.8504323065280914,0.8665894341909073,0.16140542391322957,0.9183976054191589,0.8706626510882581,0.2191686693169882,0.9724178314208984,0.9847117567604239,0.01710782493280338,0.9908579885959625,0.8488741256134194,0.7374294545032118,0.011363636363636364
20,0.28173245444442285,0.3276987671852112,0.8405263041151391,0.19046650974491477,0.9298709630966187,0.7608138488166415,0.2243691999271858,0.8689336776733398,0.8958356084979393,0.1680107044852777,0.9511789381504059,0.8383690089500636,0.22445835718309468,0.9410068392753601,0.9910658916289156,0.009586327436777385,0.9944713413715363,0.8289134471437665,0.707815699123255,0.011363636363636364
21,0.26744145154953003,0.302601006898013,0.8462065014411398,0.18031221661353636,0.9249740839004517,0.7656164390659383,0.21198514283822964,0.8604207038879395,0.865079790353775,0.1692156787800106,0.9118141829967499,0.8762907604541397,0.21279174089471872,0.9738734364509583,0.9864695336331021,0.011300460057948996,0.9905408322811127,0.8424745157492987,0.7278237302003472,0.011363636363636364
22,0.2528031624928869,0.28249647400595923,0.8415385718372735,0.17329503481015268,0.9145536720752716,0.7566612106324597,0.20711677441017148,0.8425677418708801,0.8182493472810496,0.1960397622779934,0.8878619074821472,0.9148428419774229,0.15577437485772294,0.9880839884281158,0.9725027511065657,0.035436113496300124,0.986896276473999,0.8560277150198062,0.7482941031518398,0.0
23,0.24766977086211694,0.28400753844868054,0.8476129897277463,0.17126345998453624,0.9301558136940002,0.7664351122961803,0.21261197265502998,0.8694337606430054,0.8904422680762681,0.14547201114547645,0.9399386346340179,0.8545707823200659,0.21186878719767058,0.9592584371566772,0.9889444729143922,0.014212763159363257,0.9933857619762421,0.8390683767550781,0.7227543465564379,0.0
24,0.23003693542095147,0.27045526829632843,0.8469190096313303,0.19818143619685716,0.938061386346817,0.7734773208979856,0.23198884087332455,0.8833484053611755,0.8849577977406707,0.18275019813752716,0.949472039937973,0.8611471933228049,0.20911479335486977,0.9530379176139832,0.9875142852013762,0.016303079585690973,0.9944812059402466,0.851912293375203,0.7420271887412722,0.0
25,0.21883684998810893,0.25480204820632935,0.8558982393111695,0.17890047128310282,0.9396316111087799,0.7806323101447726,0.2134107333686296,0.886137843132019,0.8706397027285262,0.18701989523589962,0.9371947348117828,0.880268728021871,0.1833288194974718,0.9558722078800201,0.9810942262411118,0.032030597042128656,0.9931246638298035,0.8583706196722181,0.751882033226732,0.011363636363636364
26,0.21176364445927168,0.2589729536663402,0.8447159640491009,0.1945139147591067,0.9340800642967224,0.7688330210406672,0.22899220443612162,0.8763174712657928,0.8856778368353844,0.16023808923682395,0.9374269843101501,0.8522713152607057,0.2262690970392965,0.9612276256084442,0.9867614995349537,0.019606841755585046,0.99362713098526,0.8327836849258956,0.7134784479713465,0.011363636363636364
27,0.19258611069785225,0.2470878308469599,0.8545260459015315,0.19797411204266005,0.9403409063816071,0.784201679148034,0.2269534474385655,0.8874004483222961,0.9051884793972765,0.16384857402290956,0.9616972208023071,0.8443887426560237,0.22639974861643966,0.9433789253234863,0.9890928370031443,0.021059893001150912,0.9955643117427826,0.8509970878290688,0.7406396265969428,0.011363636363636364
28,0.18835625684622562,0.23458677530288696,0.854733825915239,0.17934211789172502,0.9376887679100037,0.7792420766570352,0.2154375829567172,0.8826885521411896,0.8853450229560788,0.1571383960205555,0.9476915001869202,0.8645440416241233,0.2052009686406355,0.9544724524021149,0.984572330659086,0.028881996651249447,0.9937543869018555,0.8499341008325066,0.7390307820167211,0.0
29,0.17786075129653467,0.23422729427164252,0.8505371323026069,0.19825252935341972,0.9363543093204498,0.7779270396569266,0.22663284050164703,0.8803353905677795,0.8933890888639948,0.17204013862462922,0.9525388777256012,0.8480900550178919,0.22491920554875366,0.9478749334812164,0.9873977953737433,0.022047608133852536,0.9952038526535034,0.8491595294061862,0.7378603299969494,0.022727272727272728
30,0.16656661274457218,0.21392586014487527,0.8582554784688082,0.1880137476296802,0.9415825009346008,0.7871181737970222,0.22061703928613474,0.8896135091781616,0.8784135261719878,0.1746692587875597,0.9424389004707336,0.8809336700730703,0.20305208822678453,0.9661568999290466,0.9854245416142724,0.02203623783624744,0.9935214221477509,0.8641358514682548,0.760773946941871,0.011363636363636364
31,0.16168755473512592,0.21291822736913507,0.8609142121436665,0.18822085864511773,0.9393174946308136,0.7903282150881278,0.21541076207562238,0.8855788707733154,0.8715013992043346,0.178670437803296,0.9353161752223969,0.8824334599249478,0.2084359004979944,0.9638371169567108,0.9775368557734923,0.04114124354595215,0.9929676353931427,0.8677985815155654,0.7664701415735807,0.022727272727272728
32,0.15965183335121233,0.21266513521021063,0.8472597024149515,0.1884085958035337,0.9267043471336365,0.7697481709447774,0.21817496988586577,0.8634195327758789,0.8573799456723712,0.15446220425308782,0.9071784615516663,0.8853308354843069,0.21690367866589996,0.9807565808296204,0.9825270440090786,0.020378415492634055,0.9891146123409271,0.8619256004963647,0.7573543529951093,0.0
33,0.1491234176086657,0.20281208103353326,0.8590845008465376,0.18784820345055034,0.936812698841095,0.7882976337251338,0.21973337829823628,0.8811363875865936,0.8980421922592954,0.15626750192229316,0.9518308043479919,0.8663447065786882,0.20773504245375488,0.9551899433135986,0.9844650009816344,0.034642457720383504,0.9945869445800781,0.8642675352323659,0.7609781018359811,0.0
34,0.14452135863930288,0.20463962988419968,0.8532150906765753,0.19573692263657588,0.9422043561935425,0.7812063155104241,0.22451116237839505,0.8907254934310913,0.9033334605736472,0.16898016080844075,0.9574011564254761,0.8453565949830555,0.22675066257415652,0.9464348256587982,0.9905095215548169,0.014686736922986096,0.9951917231082916,0.844143053006119,0.7303179300877602,0.022727272727272728
35,0.1415559890294316,0.2061466466296803,0.849261144424831,0.19999502025082105,0.9385274946689606,0.7767596901579633,0.2296855652890135,0.8841753304004669,0.9095405295639384,0.17167768172684547,0.9698741734027863,0.8310249622683675,0.22446608689556025,0.928761750459671,0.9902972050688483,0.021937009310256564,0.9970619678497314,0.8441479780774954,0.7303253029513691,0.022727272727272728
36,0.1319375080291671,0.19446486234664917,0.8586019761014918,0.19501500746320244,0.9484837353229523,0.7890340051064626,0.2223481514103355,0.9020182490348816,0.9049567486246548,0.17118516544992043,0.9660907089710236,0.8515526157044288,0.2228028279900806,0.9417832791805267,0.9871000457893718,0.02684394919077911,0.9959126710891724,0.8573051569148539,0.7502485568240044,0.022727272727272728
37,0.12831047267624826,0.18293500488454645,0.8607722896743905,0.1769200130426317,0.9394220113754272,0.7883496572348204,0.21587683176152034,0.8857654929161072,0.8812206485732035,0.1779784844565881,0.9501775801181793,0.8822273390198295,0.18884068052826525,0.9622030556201935,0.983768221329559,0.02655983335748519,0.9940176904201508,0.8685414666991437,0.7676299582675079,0.0
38,0.12532196562699596,0.17216488989916715,0.8733779169957746,0.1596150507809426,0.9427599608898163,0.8029458369551734,0.20033511965615627,0.8917180001735687,0.9161144677888263,0.1252689367136377,0.9663485288619995,0.8664793969047341,0.18689518910444988,0.9403663575649261,0.9896824834021655,0.016604988006157645,0.995866984128952,0.8654907787858357,0.7628768128121396,0.0
39,0.11963024584933965,0.17757770148190585,0.8664323940703814,0.19078889853156147,0.9464435875415802,0.7999006133230234,0.21739779829175582,0.8983331024646759,0.910167071015828,0.15592662796448617,0.9709364473819733,0.8603886566124856,0.20919834772519938,0.9393141567707062,0.9885168779980053,0.020907189025291626,0.9964524209499359,0.8718794486049003,0.7728601766244676,0.022727272727272728
40,0.11682356186587402,0.18607594750144266,0.8508533464576632,0.2023981689909285,0.9432621896266937,0.7804098445076755,0.2330997931695921,0.8926180005073547,0.8971154335888911,0.16414626581534217,0.9459827244281769,0.8496132468468499,0.23690400593396743,0.960899829864502,0.9878244352611628,0.017887502588175952,0.9950548708438873,0.8482789083827097,0.7365315392388396,0.011363636363636364
41,0.10956106342450538,0.170820106159557,0.862498684680428,0.18365145006631925,0.9461318850517273,0.792172765782611,0.2162707324760149,0.8977717161178589,0.8932525243356146,0.16954792483166087,0.9602960348129272,0.8722906705648215,0.20137383965838707,0.9512955248355865,0.9873713403940201,0.02182527364369327,0.9947666823863983,0.8687905207566132,0.7680191305837669,0.011363636363636364
42,0.10956274680416993,0.17766522277485242,0.858639963394539,0.19879741067380385,0.9437780976295471,0.7904820051890883,0.22523742781805017,0.8935457766056061,0.9274376440285281,0.1616778982050907,0.9768607020378113,0.8314477300737053,0.22432763451583296,0.9232669472694397,0.9932660169222138,0.010879392608818593,0.9974700212478638,0.8509847804241334,0.7406209821470121,0.022727272727272728
