epoch,train_loss,val_loss,mean_dice,std_dice,median_dice,mean_iou,std_iou,median_iou,mean_precision,std_precision,median_precision,mean_recall,std_recall,median_recall,mean_specificity,std_specificity,median_specificity,global_dice,global_iou,failure_rate_dice_lt_0_10
1,0.6149220737543973,0.600520366972143,0.6718058596280488,0.20689527788170115,0.7088495492935181,0.5382507929832421,0.21395792710902137,0.5490061640739441,0.5730611052025448,0.23783000937610946,0.5570224225521088,0.9312652045522224,0.15818240041730444,0.9992943406105042,0.9090404293753884,0.046711166661436446,0.9175337851047516,0.739872548056159,0.5871410442768008,0.022727272727272728
2,0.5812851804675478,0.5811985839496959,0.7011671196246012,0.19631025424462695,0.748275876045227,0.5702822554263879,0.20728633874831717,0.5977963209152222,0.5930673935535279,0.22241520645864973,0.5985547006130219,0.9563313556665723,0.10625267365484321,0.9999553263187408,0.9036026143214919,0.07023414368677838,0.9251597225666046,0.7605944043521898,0.6136767552309255,0.022727272727272728
3,0.5631264363876497,0.5684656825932589,0.7790089373646135,0.19381369186702557,0.8363863527774811,0.6707358237525279,0.21240671486603868,0.7187840640544891,0.7106946197084405,0.22565280870665613,0.7475173771381378,0.9285282648105005,0.15457985289982495,0.9851250052452087,0.9510439668189395,0.04782375767282975,0.9679506719112396,0.8240019396128784,0.7006830770976259,0.011363636363636364
4,0.5481135652522848,0.5530241185968573,0.7993760925971649,0.18763158950755923,0.8634175658226013,0.6978247601708228,0.2110463067565329,0.7596619725227356,0.7290835384787484,0.2159958987482697,0.7840594053268433,0.9425238377880305,0.1454438673792275,0.9930829703807831,0.9522083510052074,0.053629911170502406,0.9726527333259583,0.8432106174572808,0.7289231991426498,0.011363636363636364
5,0.5349793530473805,0.5369727665727789,0.7899278981441801,0.17411302221538646,0.8445673286914825,0.6808664838529446,0.20039885051220577,0.730955570936203,0.705106730403548,0.20843886003530065,0.7469280362129211,0.9604127434166995,0.09820697926657375,0.9979561567306519,0.9455492489717223,0.05047988768118367,0.9627626538276672,0.8407438867119736,0.7252442985418983,0.0
6,0.5185942276559695,0.5324565822427924,0.8159142019735142,0.18249283164394664,0.8784381151199341,0.7201560355976901,0.20761663594377988,0.7832275331020355,0.7679463489489122,0.20927638897230086,0.8313722908496857,0.9247170334512537,0.16174745985426592,0.9912537634372711,0.9623533338308334,0.05228825316980938,0.9776298701763153,0.8442783316470397,0.7305204659269259,0.011363636363636364
7,0.5078610103539746,0.5156475901603699,0.822846439413049,0.17453429418913702,0.8801553547382355,0.7286389409141107,0.2049969305950359,0.7859631180763245,0.7725408056920225,0.2059670956936499,0.8323866724967957,0.9351633470505476,0.14069333320037036,0.9917163550853729,0.9680650301954963,0.030667121476073186,0.9780243039131165,0.8573943768045746,0.7503852242620538,0.0
8,0.49213426823567863,0.5118164745244113,0.83292486701711,0.16964663012634473,0.8957921862602234,0.7420291230452924,0.20066354380181306,0.8112653493881226,0.8146522674201564,0.1884290419525497,0.8658418357372284,0.8998653999931941,0.1870159004032992,0.9859522581100464,0.9790476445447315,0.020397545011443863,0.9834085404872894,0.8533734890368196,0.7442471291894205,0.011363636363636364
9,0.4787480536133352,0.5016435168006204,0.8383510097734291,0.17357346615435307,0.9041098356246948,0.7510891959219325,0.20270708326093712,0.8250143229961395,0.8292896692556414,0.18849763333602346,0.8943479955196381,0.8929279941155321,0.18872531338387766,0.9816460907459259,0.9816544164310802,0.0164066258529498,0.9866708517074585,0.8555197739830468,0.7475181785887691,0.011363636363636364
10,0.46470639922402124,0.48020913384177466,0.8459643916311589,0.16238424660880946,0.9032835960388184,0.7597190107811581,0.19474565682990683,0.8236255347728729,0.8145075234669176,0.18559874586950803,0.869886726140976,0.9255805995992639,0.15272628933309101,0.9916923344135284,0.9742079553279009,0.029793636409694485,0.9843650758266449,0.8655640680107757,0.7629907019015381,0.0
