epoch,train_loss,val_loss,mean_dice,std_dice,median_dice,mean_iou,std_iou,median_iou,mean_precision,std_precision,median_precision,mean_recall,std_recall,median_recall,mean_specificity,std_specificity,median_specificity,global_dice,global_iou,failure_rate_dice_lt_0_10
1,0.641142877665433,0.629706702449105,0.4330961460628631,0.2397445430996095,0.3852414935827255,0.30883383022790606,0.21716024477669227,0.23865395039319992,0.313957838002931,0.22946503334355703,0.23865395039319992,0.9925146434794773,0.028995338483152937,1.0,0.6236153522675688,0.08941850269625946,0.5985955595970154,0.4896199574042219,0.32417003906034136,0.045454545454545456
2,0.6187075262117867,0.6168082681569186,0.44560462566600606,0.2433112658812259,0.40299084782600403,0.32061165757477283,0.22189772007540834,0.25244443118572235,0.3276158031076193,0.23801216579841478,0.25244443118572235,0.989803818139163,0.035870464600298725,1.0,0.6492374458096244,0.09319887416638148,0.6248209178447723,0.5030242241553434,0.33602696334316284,0.045454545454545456
3,0.6037548358994301,0.6092003638094122,0.4493285543920303,0.2391127890199147,0.4071912467479706,0.32265081120104616,0.21823892039090212,0.2556449919939041,0.32993587968997995,0.23429989387067923,0.2556449919939041,0.9888680015097965,0.03643841127374046,1.0,0.6594925692135637,0.08162081284660323,0.6295537352561951,0.5104734662256875,0.3427085417083576,0.045454545454545456
4,0.5908115560358221,0.5958515893329274,0.4392987209245224,0.2391019738597032,0.4122059494256973,0.31428617211482063,0.21964418877421044,0.2596144676208496,0.319323230936954,0.23056828380005503,0.2596144676208496,0.9909221502867612,0.03271516038717969,1.0,0.6386616304516792,0.08256767857341908,0.618891030550003,0.4992945620330152,0.33270657212345706,0.045454545454545456
5,0.578161465399193,0.5814162980426442,0.47747622470540757,0.24705980543809025,0.45861954987049103,0.35038972852370615,0.232328700059143,0.2975390702486038,0.3561413061529906,0.2445163631716949,0.2975390702486038,0.9924282228404825,0.0317687078959646,1.0,0.6967362090945244,0.09310849257054217,0.6753892302513123,0.5407213098827254,0.3705401261216815,0.045454545454545456
6,0.5680189415661976,0.5723227208310907,0.4694975828328593,0.250708387534356,0.44714173674583435,0.3446633723268116,0.23750303456592947,0.28794796764850616,0.3477023989597166,0.24417611159655253,0.28794796764850616,0.9920684702017091,0.039317810212407885,1.0,0.6818632561374794,0.09331359600547268,0.669222354888916,0.5336544121185733,0.36393495266665477,0.045454545454545456
7,0.5548861731182445,0.55849904905666,0.49903959332203324,0.2552972080072922,0.49160370230674744,0.3731183635324917,0.24472885507271455,0.3259115070104599,0.3825336462310092,0.26136313619344814,0.326027050614357,0.9818400679664179,0.05783340764031388,1.0,0.7361623936078765,0.09055863756212451,0.7103549838066101,0.5654895640885196,0.394203869091564,0.045454545454545456
8,0.5423826828147426,0.5548389770767905,0.4937231325840747,0.2509374828624957,0.4600323736667633,0.3667757643958215,0.23978271196397274,0.29873640835285187,0.37495599525176326,0.2535287486852774,0.3078818619251251,0.9821875738826665,0.06557663183876221,1.0,0.7304537519812584,0.07936250698495784,0.721775084733963,0.5626951391123803,0.3914932415694296,0.045454545454545456
9,0.5293888503854925,0.539495587348938,0.5588948034723713,0.27513471307126536,0.5705627202987671,0.4396131243556738,0.27751718531761993,0.3991534113883972,0.4501860830509527,0.28977433217228304,0.3991534113883972,0.978883680972186,0.06260223930688336,1.0,0.8023719211870973,0.09127530771441135,0.7924219965934753,0.6294397899597776,0.45925730613565463,0.045454545454545456
10,0.5163859893577267,0.5315160588784651,0.5795965429226105,0.2749596720293616,0.5720399618148804,0.46082828105004,0.27894960013847775,0.4006471633911133,0.4779998766343025,0.2957173037578743,0.4222264140844345,0.9712825837460431,0.09065913344336421,1.0,0.8223180838606574,0.09619570085188034,0.8171282410621643,0.6404846471950394,0.4711124783354596,0.045454545454545456
11,0.5050336586104499,0.516756458715959,0.5985711845569313,0.2806503223779993,0.6370755434036255,0.4835987270344049,0.288162945513941,0.4674329608678818,0.5059420403558761,0.30808522765216145,0.47135598957538605,0.9684857123277404,0.09176828030889538,1.0,0.8434914391149174,0.09294623112793426,0.8524036407470703,0.6591375427311492,0.49157729725219734,0.045454545454545456
12,0.48872655630111694,0.49962371587753296,0.7452493497932499,0.2409799088739137,0.834740936756134,0.641951423540542,0.2566175383955634,0.716358482837677,0.6755330249540169,0.2655717562075563,0.7473995983600616,0.9512540179897438,0.12096689832611929,0.9985811710357666,0.933226661925966,0.06300094222087028,0.9603893160820007,0.7996134173777494,0.6661299192723397,0.03409090909090909
13,0.47448294933396157,0.4852523695338856,0.7642314224927262,0.2192784288666675,0.8444131016731262,0.6598424676763401,0.23988814766257988,0.7307226061820984,0.6968710560309277,0.2446479563289414,0.7672454714775085,0.9519072552634911,0.1352585584644945,0.9997830092906952,0.9468802051110701,0.04440462389518775,0.9609160721302032,0.8152754586006136,0.6881561325957061,0.011363636363636364
14,0.4605610322470617,0.4834549210288308,0.7966192662715912,0.21264957934472362,0.8717825710773468,0.7019436616365883,0.23261315951586709,0.7727113664150238,0.744181512685662,0.22191414204987822,0.8082062900066376,0.9262131659568034,0.1964073445959161,0.9960888028144836,0.9629732424562628,0.027763265542232848,0.9734262526035309,0.8495089305654172,0.7383881136799464,0.022727272727272728
15,0.4327971080336908,0.4397262009707364,0.8656283586540006,0.14076889191843858,0.9063536524772644,0.7840599273754791,0.17332484294525616,0.8287493586540222,0.81930560127578,0.16247710060434412,0.8579758703708649,0.9553535672074015,0.11518111970511626,0.995703935623169,0.9666671332987872,0.05526204274769857,0.9837505519390106,0.8941806741408173,0.8086137158491751,0.0
16,0.4069473045040863,0.42230445688421075,0.8867833445017989,0.12830160747236383,0.9307696223258972,0.8149689584123817,0.1633401618076221,0.8705044984817505,0.8653593743219972,0.14044560372359624,0.9006902277469635,0.9386599182405255,0.12671576952580102,0.9874031841754913,0.9800935218280012,0.026076111313162176,0.9885303974151611,0.9046923978847152,0.8259710752829226,0.0
17,0.3860043467897357,0.3973197611895474,0.8905503903938965,0.13244246732845213,0.9360049068927765,0.8224407157606699,0.16929250960953043,0.8797139227390289,0.8605356396768581,0.15454234412531628,0.9070898592472076,0.9528176039457321,0.11103981628112626,0.989940881729126,0.9795934781432152,0.025393170309502198,0.9885384440422058,0.9185940707339261,0.8494442705315667,0.0
18,0.36781341078305485,0.38171241500160913,0.8698867469687354,0.14971963896020535,0.9236798882484436,0.7938498747111722,0.18647239321484965,0.8581834435462952,0.8244903318753297,0.17702404473202574,0.875716507434845,0.961576962674206,0.10571346753523395,0.9933759868144989,0.9697228135033087,0.03600330920223988,0.9856336414813995,0.9024055090854225,0.8221665802399328,0.0
