image_id,dice_resunet_42,iou_resunet_42,dice_resunet_43,iou_resunet_43,dice_resunet_44,iou_resunet_44,dice_siglip_42,iou_siglip_42,dice_siglip_43,iou_siglip_43,dice_siglip_44,iou_siglip_44,dice_resunet_mean,dice_siglip_mean,iou_resunet_mean,iou_siglip_mean,dice_difference,iou_difference
cju0s690hkp960855tjuaqvv0,0.9406569004058838,0.8879624605178833,0.97091543674469,0.9434748888015748,0.9495387673377992,0.903925597667694,0.9668105840682985,0.9357534646987916,0.9373375177383424,0.8820650577545166,0.9614555239677428,0.9257721304893494,0.9537037014961243,0.9552012085914612,0.9117876489957174,0.9145302176475525,0.001497507095336914,0.0027425686518350867
cju0sr5ghl0nd08789uzf1raf,0.9257737994194032,0.861805260181427,0.8551307916641235,0.7469244003295898,0.874435305595398,0.7768858671188354,0.9559618830680848,0.9156388640403748,0.7025911211967468,0.5415341258049011,0.959896981716156,0.9228864312171936,0.8851132988929749,0.8728166619936625,0.7952051758766174,0.7933531403541565,-0.012296636899312374,-0.0018520355224609375
cju0sxqiclckk08551ycbwhno,0.8046122193336487,0.6730971932411194,0.8903633952140808,0.8023918867111206,0.270280659198761,0.1562569439411163,0.4410109519958496,0.2828826606273651,0.833800196647644,0.7149719595909119,0.6842830777168274,0.5200838446617126,0.6550854245821635,0.6530314087867737,0.5439153412977854,0.5059794882933298,-0.002054015795389774,-0.037935853004455566
cju0t4oil7vzk099370nun5h9,0.8807482123374939,0.7869080305099487,0.9554311633110046,0.9146655797958374,0.9595839381217957,0.9223079085350036,0.9776965379714966,0.9563663005828856,0.9777294993400574,0.9564293026924132,0.9786521196365356,0.9581966400146484,0.931921104590098,0.9780260523160299,0.8746271729469299,0.9569974144299825,0.04610494772593188,0.08237024148305261
cju0tl3uz8blh0993wxvn7ly3,0.474180519580841,0.3107710480690002,0.356855571269989,0.217178463935852,0.3291904628276825,0.1970245242118835,0.867986798286438,0.7667638659477234,0.9207479953765868,0.8531352877616882,0.8185328245162964,0.6928104758262634,0.3867421845595042,0.8690892060597738,0.24165801207224522,0.770903209845225,0.4823470215002696,0.5292451977729797
cju0u2g7pmnux0801vkk47ivj,0.9375155568122864,0.8823805451393127,0.826168417930603,0.7038219571113586,0.8957047462463379,0.8111097812652588,0.9678808450698853,0.9377607107162476,0.9696213603019714,0.9410340785980223,0.9686540961265564,0.9392135739326476,0.8864629069964091,0.9687187671661377,0.7991040945053101,0.9393361210823059,0.08225586016972863,0.14023202657699585
cju0u82z3cuma0835wlxrnrjv,0.9102737307548524,0.8353232741355896,0.8503060936927795,0.739593505859375,0.9084500074386596,0.8322568535804749,0.9480159878730774,0.9011695384979248,0.929347038269043,0.8680188655853271,0.9137492179870604,0.8411954641342163,0.8896766106287638,0.9303707480430603,0.8023912111918131,0.8701279560724894,0.040694137414296505,0.06773674488067627
cju0ue769mxii08019zqgdbxn,0.9529885053634644,0.9101987481117249,0.951183557510376,0.9069114327430724,0.9561122059822084,0.91591477394104,0.9368796348571776,0.8812545537948608,0.94885915517807,0.902694582939148,0.9417937994003296,0.8899908065795898,0.9534280896186829,0.9425108631451925,0.9110083182652792,0.8913133144378662,-0.01091722647349036,-0.01969500382741296
cju0vtox5ain6099360pu62rp,0.7812150120735168,0.6409785151481628,0.799717903137207,0.6662749648094177,0.7974660992622375,0.6631548404693604,0.8798988461494446,0.7855530381202698,0.966205358505249,0.934620201587677,0.8905541300773621,0.8027017712593079,0.7927996714909872,0.9122194449106852,0.656802773475647,0.8409583369890848,0.119419773419698,0.18415556351343787
cju13cgqmnhwn0988yrainhcp,0.9003933072090149,0.8188320994377136,0.8846248388290405,0.7931185960769653,0.9050655364990234,0.8265933990478516,0.985881507396698,0.9721561670303344,0.9873555898666382,0.9750269651412964,0.9129239916801452,0.8397977352142334,0.896694560845693,0.9620536963144938,0.8128480315208435,0.9289936224619547,0.06535913546880079,0.11614559094111121
cju13fwthn9mq0835gacxgy01,0.9703054428100586,0.9423235654830932,0.7774895429611206,0.6359778046607971,0.8975281119346619,0.814105212688446,0.9688647985458374,0.9396098256111144,0.9748251438140868,0.9508866667747498,0.9668660759925842,0.9358574151992798,0.881774365901947,0.9701853394508362,0.7974688609441122,0.942117969195048,0.08841097354888916,0.1446491082509358
cju13hp5rnbjx0835bf0jowgx,9.168423832639494e-12,9.168423832639494e-12,9.168423832639494e-12,9.168423832639494e-12,9.168423832639494e-12,9.168423832639494e-12,0.9508517980575562,0.90630841255188,0.9398350715637208,0.8864989876747131,0.9421886205673218,0.8906962275505066,9.168423832639494e-12,0.9442918300628662,9.168423832639494e-12,0.8945012092590332,0.9442918300536978,0.8945012092498648
cju14g8o4xui30878gkgbrvqj,0.9162476062774658,0.8454399704933167,0.9185056686401368,0.849293053150177,0.8910990953445435,0.8035877346992493,0.94006085395813,0.8869007229804993,0.958599328994751,0.9204903841018676,0.9119170904159546,0.8380952477455139,0.9086174567540487,0.9368590911229452,0.8327735861142477,0.881828784942627,0.028241634368896484,0.049055198828379276
cju14hjh2ob2o0835ouz3r5aa,0.8604100942611694,0.7550173401832581,0.8570247888565063,0.7498192191123962,0.8953529000282288,0.8105329871177673,0.941149890422821,0.888841450214386,0.9202119708061218,0.8522154092788696,0.9099374413490297,0.8347570896148682,0.8709292610486349,0.9237664341926575,0.7717898488044739,0.8586046497027079,0.05283717314402259,0.08681480089823401
cju14pxbaoksp0835qzorx6g6,0.6409406065940857,0.4716060757637024,0.621832013130188,0.4512019157409668,0.6107147336006165,0.4395891427993774,0.9781346917152404,0.9572051167488098,0.9856290817260742,0.9716653227806092,0.9808813333511353,0.9624800682067872,0.62449578444163,0.9815483689308167,0.4541323781013489,0.9637835025787354,0.35705258448918664,0.5096511244773865
cju15czxqp3lv0835jvhgzurz,0.9467557668685912,0.8988947868347168,0.9456323385238647,0.8968715071678162,0.960315465927124,0.923660397529602,0.9775992035865784,0.9561800360679626,0.965153992176056,0.9326546788215636,0.9479533433914183,0.9010563492774964,0.95090119043986,0.9635688463846842,0.906475563844045,0.9299636880556742,0.012667655944824219,0.023488124211629158
cju15jr8jz8sb0855ukmkswkz,0.7025575041770935,0.5414941310882568,0.6983409523963928,0.5365006327629089,0.6723657250404358,0.5064389705657959,0.9885637164115906,0.9773859977722168,0.9880996942520142,0.9764792919158936,0.981565535068512,0.9637984037399292,0.691088060537974,0.9860763152440389,0.5281445781389872,0.9725545644760132,0.29498825470606493,0.444409986337026
cju15l5ubz9yh0855b3ivdpse,0.8176386952400208,0.6915303468704224,0.6945024132728577,0.531982958316803,0.4846938848495483,0.3198653161525726,0.7084389925003052,0.5485137701034546,0.732764720916748,0.5782389044761658,0.702143132686615,0.5410019755363464,0.6656116644541422,0.7144489487012228,0.5144595404465994,0.5559182167053223,0.04883728424708056,0.041458676258722904
cju15mhjczc8z0801kit5c6di,0.7426638603210449,0.5906645059585571,0.7481624484062195,0.5976514220237732,0.6444142460823059,0.4753769636154175,0.90204656124115,0.821570873260498,0.9250478148460388,0.8605478405952454,0.9359135627746582,0.879546582698822,0.7117468516031901,0.9210026462872823,0.5545642971992493,0.8538884321848551,0.20925579468409228,0.29932413498560584
cju15ptjtppz40988odsm9azx,0.9333750605583192,0.8750733137130737,0.5904023051261902,0.4188445806503296,0.6781398057937622,0.513019323348999,0.6102901697158813,0.4391493201255798,0.7534212470054626,0.6043912172317505,0.9163358807563782,0.845590353012085,0.7339723904927572,0.7600157658259074,0.6023124059041342,0.6297102967898051,0.026043375333150154,0.027397890885670906
cju15wdt3zla10801odjiw7sy,0.977250874042511,0.955513834953308,0.974152684211731,0.9496078491210938,0.9745938777923584,0.9504467248916626,0.9790458083152772,0.9589517116546632,0.9780575633049012,0.9570573568344116,0.9759827256202698,0.9530920386314392,0.9753324786822001,0.977695365746816,0.9518561363220215,0.956367035706838,0.0023628870646159594,0.004510899384816525
cju160wshltz10993i1gmqxbe,0.91898512840271,0.8501133322715759,0.035379059612751,0.0180080849677324,0.9089037775993348,0.8330188393592834,0.8977084159851074,0.8144019246101379,0.8919676542282104,0.8050014972686768,0.9022355675697328,0.8218845129013062,0.6210893218715986,0.8973038792610168,0.5670467521995306,0.8137626449267069,0.27621455738941825,0.2467158927271763
cju16ach3m1da0993r1dq3sn2,0.973519802093506,0.9484058022499084,0.984185516834259,0.9688634872436525,0.9838910102844238,0.968292772769928,0.98615562915802,0.9726893901824952,0.9865034818649292,0.973366379737854,0.9858100414276124,0.9720171689987184,0.9805321097373962,0.9861563841501871,0.9618540207544962,0.9726909796396891,0.005624274412790897,0.010836958885192871
cju16b6ynq8e40988m8vx0xnj,0.9519559144973756,0.9083166122436525,0.9632954597473145,0.9291900396347046,0.960943639278412,0.9248234033584596,0.92433762550354,0.8593194484710693,0.9401020407676696,0.8869741559028625,0.935883641242981,0.8794936537742615,0.9587316711743673,0.9334411025047302,0.9207766850789388,0.8752624193827311,-0.02529056866963708,-0.045514265696207756
