image_id,resunet_42,resunet_43,resunet_44,siglip_42,siglip_43,siglip_44,dice_resunet_mean,dice_siglip_mean,dice_gain
cju13hp5rnbjx0835bf0jowgx,9.168423832639494e-12,9.168423832639494e-12,9.168423832639494e-12,0.9508517980575562,0.9398350715637208,0.9421886205673218,9.168423832639494e-12,0.9442918300628662,0.9442918300536978
cju16whaj0e7n0855q7b6cjkm,0.3369961082935333,0.0719096213579177,0.1081523075699806,0.7923305630683899,0.7389416098594666,0.8106409907341003,0.17235267907381055,0.7806377212206522,0.6082850421468416
cju87li0zn3yb0817kbwgjiz8,0.3368078470230102,0.3711355626583099,0.3009058237075805,0.9664141535758972,0.9857404828071594,0.8799242377281189,0.3362830777963002,0.9440262913703918,0.6077432135740917
cju7eea9b2m0z0801ynqv1fqu,0.0051361066289246,0.4888170659542084,0.4351870715618133,0.9452404379844666,0.7463095784187317,0.9104729890823364,0.3097134147149821,0.8673410018285116,0.5576275871135294
cju0tl3uz8blh0993wxvn7ly3,0.474180519580841,0.356855571269989,0.3291904628276825,0.867986798286438,0.9207479953765868,0.8185328245162964,0.3867421845595042,0.8690892060597738,0.4823470215002696
cju8doa16u5gh0818w1ywda3q,0.570790708065033,0.4074948132038116,0.609799861907959,0.9804219007492064,0.9621284008026124,0.9560493230819702,0.5293617943922678,0.9661998748779297,0.43683808048566186
cjyzu9th0qt4r0a46pyl4zik0,0.0728259310126304,0.4416753053665161,0.8500832915306091,0.8633571863174438,0.8952292203903198,0.8597820997238159,0.4548615093032519,0.8727895021438599,0.41792799284060794
cju884985nlmx0817vzpax3y4,0.2050040364265442,0.6891076564788818,0.8090178966522217,0.9239267110824584,0.9374053478240968,0.916461944580078,0.5677098631858826,0.9259313344955444,0.35822147130966187
cju14pxbaoksp0835qzorx6g6,0.6409406065940857,0.621832013130188,0.6107147336006165,0.9781346917152404,0.9856290817260742,0.9808813333511353,0.62449578444163,0.9815483689308167,0.35705258448918664
cju7dwe282dc309876rco45ts,0.6593903303146362,0.5799362063407898,0.6465532183647156,0.9754044413566588,0.977192521095276,0.9755728244781494,0.6286265850067139,0.9760565956433614,0.3474300106366476
cju33231uy4gi0993qc7b1jch,0.7393245100975037,0.5470342040061951,0.4943193793296814,0.9348179697990416,0.9304847717285156,0.9186820387840272,0.5935593644777933,0.9279949267705282,0.33443556229273486
cju16fpvhzypl0799p9phnlx6,0.5815161466598511,0.7592297196388245,0.6195623874664307,0.9702942967414856,0.966385781764984,0.9656420946121216,0.6534360845883688,0.9674407243728638,0.314004639784495
cju15jr8jz8sb0855ukmkswkz,0.7025575041770935,0.6983409523963928,0.6723657250404358,0.9885637164115906,0.9880996942520142,0.981565535068512,0.691088060537974,0.9860763152440389,0.29498825470606493
cju160wshltz10993i1gmqxbe,0.91898512840271,0.035379059612751,0.9089037775993348,0.8977084159851074,0.8919676542282104,0.9022355675697328,0.6210893218715986,0.8973038792610168,0.27621455738941825
cju7druhp2gp308715i6km7be,0.7121285796165466,0.7108339667320251,0.6945436596870422,0.9393905997276306,0.960227072238922,0.9557758569717408,0.7058354020118713,0.9517978429794312,0.24596244096755981
cju87vqa0ndwg0850onjdz7ol,0.6800882816314697,0.6391211748123169,0.6760498881340027,0.9360971450805664,0.9342668652534484,0.8495880961418152,0.6650864481925964,0.90665070215861,0.24156425396601355
cju15mhjczc8z0801kit5c6di,0.7426638603210449,0.7481624484062195,0.6444142460823059,0.90204656124115,0.9250478148460388,0.9359135627746582,0.7117468516031901,0.9210026462872823,0.20925579468409228
cju87nkyrnb970801q84m47yt,0.6627700924873352,0.8250637650489807,0.7957165241241455,0.9738441109657288,0.9605106115341188,0.9567837119102478,0.7611834605534872,0.9637128114700317,0.20252935091654456
cju8ceacrsqkr0755hdz145es,0.6554026007652283,0.6527050733566284,0.9776017665863036,0.9600481390953064,0.9657794833183287,0.958101212978363,0.7619031469027201,0.9613096117973328,0.19940646489461267
cju85plp7lmkw0850rx42jdpf,0.7992267608642578,0.8511179685592651,0.6523444652557373,0.965976357460022,0.9708291888237,0.9622647762298584,0.7675630648930868,0.9663567741711935,0.1987937092781067
