image_id,dice_resunet,iou_resunet,precision_resunet,recall_resunet,specificity_resunet,tp_resunet,fp_resunet,fn_resunet,tn_resunet,dice_siglip,iou_siglip,precision_siglip,recall_siglip,specificity_siglip,tp_siglip,fp_siglip,fn_siglip,tn_siglip,dice_gain
cju0tl3uz8blh0993wxvn7ly3,0.474180519580841,0.3107710480690002,0.3116883039474487,0.9906191229820251,0.9885537028312684,528.0,1166.0,5.0,100701.0,0.1120154187083244,0.0593306869268417,0.0593980699777603,0.9812382459640504,0.9186978936195374,523.0,8282.0,10.0,93585.0,-0.36216510087251663
ck2bxw18mmz1k0725litqq2mc,0.5120618343353271,0.3441418707370758,0.9759339094161988,0.3470873832702636,0.9962300062179564,10868.0,268.0,20444.0,70820.0,0.2455171644687652,0.1399370580911636,0.9681108593940736,0.1405850797891616,0.9979602694511414,4402.0,145.0,26910.0,70943.0,-0.26654466986656195
cju7dxffn2eam0817qxosfwch,0.8729312419891357,0.7745146155357361,0.9649027585983276,0.7969667911529541,0.993872046470642,14241.0,518.0,3628.0,84013.0,0.6574326753616333,0.4896831810474396,0.9381614327430724,0.5060160160064697,0.9929493069648744,9042.0,596.0,8827.0,83935.0,-0.21549856662750244
cju7dubap2g0w0801fgl42mg9,0.6405543684959412,0.4711879193782806,0.7792702913284302,0.5437608361244202,0.9477868676185608,14097.0,3993.0,11828.0,72482.0,0.4586515128612518,0.2975651025772095,0.9856252670288086,0.298862099647522,0.998522400856018,7748.0,113.0,18177.0,76362.0,-0.1819028556346894
cju15l5ubz9yh0855b3ivdpse,0.8176386952400208,0.6915303468704224,0.8291979432106018,0.8063973188400269,0.9940102696418762,2874.0,592.0,690.0,98244.0,0.6543326377868652,0.4862514138221741,1.0,0.4862514138221741,1.0,1733.0,0.0,1831.0,98836.0,-0.16330605745315552
cju15ptjtppz40988odsm9azx,0.9333750605583192,0.8750733137130737,0.891944408416748,0.9788420796394348,0.9924924373626708,5968.0,723.0,129.0,95580.0,0.7927547693252563,0.656664252281189,0.8544352054595947,0.7393800020217896,0.9920251965522766,4508.0,768.0,1589.0,95535.0,-0.14062029123306286
ck2bxiswtxuw80838qkisqjwz,0.5981233716011047,0.4266590774059295,0.9779894948005676,0.4307957291603088,0.9923145771026612,19506.0,439.0,25773.0,56682.0,0.4637145102024078,0.3018413782119751,0.9438453912734984,0.3073610365390777,0.9855044484138488,13917.0,828.0,31362.0,56293.0,-0.13440886139869695
cju0sxqiclckk08551ycbwhno,0.8046122193336487,0.6730971932411194,0.6733001470565796,0.9995523691177368,0.977872371673584,4466.0,2167.0,2.0,95765.0,0.6720789074897766,0.506113588809967,0.5083792209625244,0.9912712574005128,0.9562655687332152,4429.0,4283.0,39.0,93649.0,-0.13253331184387207
cju85plp7lmkw0850rx42jdpf,0.7992267608642578,0.6655933856964111,0.8461648225784302,0.7572224736213684,0.9391310214996338,23773.0,4322.0,7622.0,66683.0,0.6973081827163696,0.5352824926376343,0.9978057146072388,0.535913348197937,0.9994789361953736,16825.0,37.0,14570.0,70968.0,-0.10191857814788818
cju13fwthn9mq0835gacxgy01,0.9703054428100586,0.9423235654830932,0.9763672947883606,0.9643184542655944,0.996247947216034,13675.0,331.0,506.0,87888.0,0.8740713000297546,0.776311457157135,0.7790101170539856,0.995557427406311,0.9546016454696656,14118.0,4005.0,63.0,84214.0,-0.09623414278030396
cju8dqkrqu83i0818ev74qpxq,0.8999919295310974,0.8181684613227844,0.9936880469322203,0.8224427700042725,0.9922831058502196,50220.0,319.0,10842.0,41019.0,0.8257607221603394,0.7032303214073181,0.9953561425209044,0.70554518699646,0.995137631893158,43082.0,201.0,17980.0,41137.0,-0.07423120737075806
cju87ox0kncom0801b98hqnd2,0.8100272417068481,0.6807107329368591,0.7015351057052612,0.9582147598266602,0.971563756465912,6398.0,2722.0,279.0,93001.0,0.7406759858131409,0.5881536602973938,0.6062195897102356,0.9517747759819032,0.9568755626678468,6355.0,4128.0,322.0,91595.0,-0.06935125589370728
cju8clorgsuwn08714toqb7v6,0.948292076587677,0.901668667793274,0.9470307230949402,0.9495567679405212,0.9924486875534058,12104.0,677.0,643.0,88976.0,0.8842595815658569,0.7925316691398621,0.8368232846260071,0.9373970627784728,0.9740108847618104,11949.0,2330.0,798.0,87323.0,-0.06403249502182007
cjyzuio1qgh040763k56deohv,0.9431314468383788,0.8923829197883606,0.8930069804191589,0.9992175102233888,0.9984869956970216,1277.0,153.0,1.0,100969.0,0.8875698447227478,0.7978656888008118,0.8013871312141418,0.9945226907730104,0.9968849420547484,1271.0,315.0,7.0,100807.0,-0.05556160211563099
cju33qpdvc9g0087825jhf3s9,0.9596633911132812,0.9224546551704408,0.9675248861312866,0.9519286155700684,0.9988779425621032,3307.0,111.0,167.0,98815.0,0.91170072555542,0.837729811668396,0.918492555618286,0.9050086140632628,0.9971796870231628,3144.0,279.0,330.0,98647.0,-0.04796266555786122
cju32zhbnc1oy0801iyv1ix6p,0.8135496377944946,0.685700535774231,0.6893644332885742,0.9923085570335388,0.8488246202468872,25674.0,11569.0,199.0,64958.0,0.7703152298927307,0.6264331340789795,0.6328321099281311,0.984114706516266,0.8069570064544678,25462.0,14773.0,411.0,61754.0,-0.043234407901763916
cju87kbcen2av0987usezo8kn,0.3533510863780975,0.2145879864692688,0.2223187386989593,0.8605507612228394,0.8044595122337341,5375.0,18802.0,871.0,77352.0,0.3102515637874603,0.1836081445217132,0.1895589679479599,0.8539865612983704,0.7628283500671387,5334.0,22805.0,912.0,73349.0,-0.04309952259063715
cju3381d8bz3h07991xtl7ra0,0.9541511535644532,0.9123222827911376,0.9341171979904176,0.9750633239746094,0.996370792388916,5005.0,353.0,128.0,96914.0,0.9161121249198914,0.8452092409133911,0.8827673196792603,0.9520748257637024,0.9933276176452636,4887.0,649.0,246.0,96618.0,-0.03803902864456188
cju7ea4om2l910801bohqjccy,0.9763155579566956,0.9537270665168762,0.9688888788223268,0.9838569760322572,0.9981167316436768,5668.0,182.0,93.0,96457.0,0.9417544007301332,0.8899204134941101,0.9519418478012084,0.9317826628684998,0.9971957206726074,5368.0,271.0,393.0,96368.0,-0.03456115722656239
cjyzjzssvd8pq0838f4nolj5l,0.8252230882644653,0.7024508714675903,0.7109470963478088,0.9832718968391418,0.985739290714264,3468.0,1410.0,59.0,97463.0,0.7914729714393616,0.6549071073532104,0.6594859957695007,0.9895095229148864,0.981774628162384,3490.0,1802.0,37.0,97071.0,-0.03375011682510376
