image_id,dice_resunet,iou_resunet,precision_resunet,recall_resunet,specificity_resunet,tp_resunet,fp_resunet,fn_resunet,tn_resunet,dice_siglip,iou_siglip,precision_siglip,recall_siglip,specificity_siglip,tp_siglip,fp_siglip,fn_siglip,tn_siglip,dice_gain
cju13hp5rnbjx0835bf0jowgx,9.168423832639494e-12,9.168423832639494e-12,1.0,9.168423832639494e-12,1.0,0.0,0.0,10907.0,91493.0,0.8625204563140869,0.7582733631134033,0.975361466407776,0.7730814814567566,0.9976719617843628,8432.0,213.0,2475.0,91280.0,0.8625204563049185
cju7eea9b2m0z0801ynqv1fqu,0.0051361066289246,0.0025746652390807,0.3333333432674408,0.0025879917666316,0.9993392825126648,30.0,60.0,11562.0,90748.0,0.7462701201438904,0.5952399373054504,0.8618234992027283,0.6580400466918945,0.9865320324897766,7628.0,1223.0,3964.0,89585.0,0.7411340135149658
cjyzu9th0qt4r0a46pyl4zik0,0.0728259310126304,0.0377889759838581,1.0,0.0377889759838581,1.0,255.0,0.0,6493.0,95652.0,0.7918257117271423,0.6553903222084045,0.6557728052139282,0.9991108179092408,0.963001310825348,6742.0,3539.0,6.0,92113.0,0.718999780714512
cju884985nlmx0817vzpax3y4,0.2050040364265442,0.1142086312174797,0.1231813803315162,0.6105769276618958,0.9190673232078552,1143.0,8136.0,729.0,92392.0,0.8584630489349365,0.7520238757133484,0.7879464030265808,0.94284188747406,0.9952749609947203,1765.0,475.0,107.0,100053.0,0.6534590125083923
cju87li0zn3yb0817kbwgjiz8,0.3368078470230102,0.202506884932518,0.9557062387466432,0.2044255137443542,0.9836676120758056,13248.0,614.0,51558.0,36980.0,0.8883029818534851,0.7990513443946838,0.967063307762146,0.8214054107666016,0.9517742395401,53232.0,1813.0,11574.0,35781.0,0.5514951348304749
cju8doa16u5gh0818w1ywda3q,0.570790708065033,0.399375170469284,0.9950925707817078,0.400163322687149,0.9949870109558104,29402.0,145.0,44073.0,28780.0,0.9455431699752808,0.8967111110687256,0.9889445304870604,0.9057911038398744,0.9742783308029176,66553.0,744.0,6922.0,28181.0,0.3747524619102478
cju16whaj0e7n0855q7b6cjkm,0.3369961082935333,0.2026430070400238,0.8754139542579651,0.208660677075386,0.9895774126052856,5551.0,790.0,21052.0,75007.0,0.6758955121040344,0.5104548335075378,0.9705861806869508,0.518475353717804,0.9944852590560912,13793.0,418.0,12810.0,75379.0,0.3388994038105011
cju8ceacrsqkr0755hdz145es,0.6554026007652283,0.4874341189861297,0.4897154867649078,0.9905331134796144,0.9578903317451476,3976.0,4143.0,38.0,94243.0,0.9559608101844788,0.9156368970870972,0.952063262462616,0.959890365600586,0.9980281591415404,3853.0,194.0,161.0,98192.0,0.3005582094192505
cju87nkyrnb970801q84m47yt,0.6627700924873352,0.4956291019916534,0.8622692823410034,0.5382400155067444,0.9913356900215148,5046.0,806.0,4329.0,92219.0,0.95491760969162,0.913724720478058,0.928549826145172,0.9828266501426696,0.9923784136772156,9214.0,709.0,161.0,92316.0,0.2921475172042848
cju16jgnyzp970878melv7r25,0.6772924661636353,0.5120500326156616,0.5151819586753845,0.9882668256759644,0.8773378729820251,11792.0,11097.0,140.0,79371.0,0.9455947875976562,0.8968039155006409,0.94583261013031,0.9453570246696472,0.9928593635559082,11280.0,646.0,652.0,89822.0,0.268302321434021
cju15jr8jz8sb0855ukmkswkz,0.7025575041770935,0.5414941310882568,0.9896662831306458,0.5445732474327087,0.997393786907196,17526.0,183.0,14657.0,70034.0,0.96771240234375,0.9374446272850036,0.9827011823654176,0.95317405462265,0.9923095703125,30676.0,540.0,1507.0,69677.0,0.2651548981666565
cju14pxbaoksp0835qzorx6g6,0.6409406065940857,0.4716060757637024,0.4741971492767334,0.9885464906692504,0.9154376983642578,7250.0,8039.0,84.0,87027.0,0.8850876688957214,0.7938629984855652,0.8017708659172058,0.9877284169197084,0.9811604619026184,7244.0,1791.0,90.0,93275.0,0.24414706230163574
cju7dwe282dc309876rco45ts,0.6593903303146362,0.4918585121631622,0.8658092617988586,0.532448410987854,0.9614210724830629,17369.0,2692.0,15252.0,67087.0,0.8638340830802917,0.7603062987327576,0.9598336219787598,0.7852916717529297,0.9846372008323668,25617.0,1072.0,7004.0,68707.0,0.20444375276565552
ck2bxknhjvs1x0794iogrq49k,0.7322394251823425,0.577584981918335,0.8177607655525208,0.6629121899604797,0.9799218773841858,8122.0,1810.0,4130.0,88338.0,0.9151556491851808,0.8435823917388916,0.8941671252250671,0.9371531009674072,0.9849247932434082,11482.0,1359.0,770.0,88789.0,0.18291622400283825
cju33231uy4gi0993qc7b1jch,0.7393245100975037,0.5864510536193848,0.6097131967544556,0.9389171004295348,0.9631878733634948,5549.0,3552.0,361.0,92938.0,0.9183772206306458,0.8490735292434692,0.8790223002433777,0.9614213109016418,0.99189555644989,5682.0,782.0,228.0,95708.0,0.1790527105331421
cju7druhp2gp308715i6km7be,0.7121285796165466,0.5529500842094421,0.9949910044670104,0.5544936060905457,0.9986751675605774,18275.0,92.0,14683.0,69350.0,0.8897947072982788,0.8014686107635498,0.9661902785301208,0.8245949149131775,0.9863051176071168,27177.0,951.0,5781.0,68491.0,0.17766612768173218
cju7dqcwi2dz00850gcmr2ert,0.7733314633369446,0.6304323077201843,0.6347036957740784,0.9894378781318665,0.967143177986145,5527.0,3181.0,59.0,93633.0,0.9344655871391296,0.876992404460907,0.8970685005187988,0.9751163721084596,0.993544340133667,5447.0,625.0,139.0,96189.0,0.16113412380218506
cju16fpvhzypl0799p9phnlx6,0.5815161466598511,0.4099561274051666,0.4112739562988281,0.9922444820404052,0.8319955468177795,10747.0,15384.0,84.0,76185.0,0.7362047433853149,0.5825348496437073,0.5867193341255188,0.9879050850868224,0.9176904559135436,10700.0,7537.0,131.0,84032.0,0.15468859672546387
cju15mhjczc8z0801kit5c6di,0.7426638603210449,0.5906645059585571,0.9432046413421632,0.6124475002288818,0.9942549467086792,8453.0,509.0,5349.0,88089.0,0.8930537700653076,0.8067724704742432,0.9684139490127563,0.8285755515098572,0.9957899451255798,11436.0,373.0,2366.0,88225.0,0.1503899097442627
cju85nr8elly209872w9n5m0s,0.7676296234130859,0.6228887438774109,0.6331945657730103,0.9745355248451232,0.9633408188819884,6085.0,3525.0,159.0,92631.0,0.9087259769439696,0.8327202796936035,0.998274564743042,0.8339205384254456,0.9999064207077026,5207.0,9.0,1037.0,96147.0,0.14109635353088368
