image_id,resunet_42,resunet_43,resunet_44,siglip_42,siglip_43,siglip_44,dice_resunet_mean,dice_siglip_mean,dice_gain
ck2bxw18mmz1k0725litqq2mc,0.5120618343353271,0.5647636651992798,0.5762025713920593,0.2493258118629455,0.2335975766181945,0.3521861135959625,0.5510093569755554,0.27836983402570087,-0.27263952294985455
cju32zhbnc1oy0801iyv1ix6p,0.8135496377944946,0.8390616178512573,0.822970986366272,0.5589668154716492,0.5584924817085266,0.5561373829841614,0.8251940806706747,0.557865560054779,-0.2673285206158956
cju7dubap2g0w0801fgl42mg9,0.6405543684959412,0.6581637263298035,0.6914198398590088,0.4429281055927276,0.4408937990665436,0.431850403547287,0.6633793115615845,0.4385574360688527,-0.22482187549273175
cju87xn2snfmv0987sc3d9xnq,0.8285554051399231,0.835985541343689,0.8875853419303894,0.6444213390350342,0.7526019215583801,0.5850512385368347,0.8507087628046671,0.660691499710083,-0.1900172630945841
ck2bxlujamu330725szlc2jdu,0.903911292552948,0.9058494567871094,0.9236986041069032,0.8377035856246948,0.8505872488021851,0.8329365849494934,0.9111531178156534,0.8404091397921244,-0.07074397802352905
ck2bxiswtxuw80838qkisqjwz,0.5981233716011047,0.4659945368766784,0.4599710404872894,0.4637797474861145,0.4621198177337646,0.4640293717384338,0.5080296496550242,0.463309645652771,-0.04472000400225318
cju32qr9tbvsj08013pkpjenq,0.6429646611213684,0.5528619289398193,0.6029599905014038,0.8600026369094849,0.3268926441669464,0.489672988653183,0.5995955268541971,0.5588560899098715,-0.04073943694432569
cju87kbcen2av0987usezo8kn,0.3533510863780975,0.355605274438858,0.3317969143390655,0.3143737614154815,0.3232305347919464,0.2882907092571258,0.3469177583853403,0.30863166848818463,-0.03828608989715565
cju16b6ynq8e40988m8vx0xnj,0.9519559144973756,0.9632954597473145,0.960943639278412,0.92433762550354,0.9401020407676696,0.935883641242981,0.9587316711743673,0.9334411025047302,-0.02529056866963708
cju3381d8bz3h07991xtl7ra0,0.9541511535644532,0.9547143578529358,0.8951073288917542,0.9164556860923768,0.9132220149040222,0.917136251926422,0.934657613436381,0.9156046509742737,-0.019052962462107303
cju0sr5ghl0nd08789uzf1raf,0.9257737994194032,0.8551307916641235,0.874435305595398,0.9559618830680848,0.7025911211967468,0.959896981716156,0.8851132988929749,0.8728166619936625,-0.012296636899312374
cjyzkpsbjdsjq07211dfi4sru,0.9452568292617798,0.9360430240631104,0.9594152569770812,0.9350214004516602,0.9465909004211426,0.9236430525779724,0.9469050367673238,0.935085117816925,-0.0118199189503988
cju0ue769mxii08019zqgdbxn,0.9529885053634644,0.951183557510376,0.9561122059822084,0.9368796348571776,0.94885915517807,0.9417937994003296,0.9534280896186829,0.9425108631451925,-0.01091722647349036
cju7dsrtb2f8i085064kwugfk,0.9734649062156676,0.9718317985534668,0.9666588306427002,0.963302731513977,0.9628252983093262,0.9596643447875975,0.9706518451372782,0.9619307915369669,-0.00872105360031128
cju8cgi2kspp308011nxdtjp6,0.9559060335159302,0.9394831657409668,0.9497405886650084,0.9473517537117004,0.946215808391571,0.941553235054016,0.9483765959739685,0.9450402657190958,-0.003336330254872677
cju33qpdvc9g0087825jhf3s9,0.9596633911132812,0.9489825367927552,0.9263424277305604,0.9420248866081238,0.949224889278412,0.9339007139205932,0.9449961185455322,0.9417168299357096,-0.003279288609822628
cju8chdlqsu620755azjty1tj,0.9688666462898254,0.930972933769226,0.9364892840385436,0.9521347880363464,0.9392098784446716,0.9375641942024232,0.9454429546991984,0.9429696202278137,-0.0024733344713846472
cju7dxffn2eam0817qxosfwch,0.8729312419891357,0.6454424262046814,0.6225979924201965,0.597673237323761,0.9333444237709044,0.6028316020965576,0.7136572202046713,0.7112830877304077,-0.002374132474263546
cju7ea4om2l910801bohqjccy,0.9763155579566956,0.9808064699172974,0.9780553579330444,0.975567638874054,0.9755077362060548,0.9777972102165222,0.9783924619356791,0.9762908617655436,-0.002101600170135498
cju87zv8lni0o0850hbbecbq6,0.9406896829605104,0.9296551942825316,0.933783769607544,0.9325729608535768,0.9458709359169006,0.9194089770317078,0.9347095489501953,0.9326176246007284,-0.0020919243494669226
