image_id,dice_resunet_paper_42,iou_resunet_paper_42,precision_resunet_paper_42,recall_resunet_paper_42,specificity_resunet_paper_42,dice_resunet_paper_43,iou_resunet_paper_43,precision_resunet_paper_43,recall_resunet_paper_43,specificity_resunet_paper_43,dice_resunet_paper_44,iou_resunet_paper_44,precision_resunet_paper_44,recall_resunet_paper_44,specificity_resunet_paper_44,dice_resunet_paper_mean,dice_resunet_paper_seed_sd,iou_resunet_paper_mean,iou_resunet_paper_seed_sd,precision_resunet_paper_mean,precision_resunet_paper_seed_sd,recall_resunet_paper_mean,recall_resunet_paper_seed_sd,specificity_resunet_paper_mean,specificity_resunet_paper_seed_sd,dice_siglip2_frozen_42,iou_siglip2_frozen_42,precision_siglip2_frozen_42,recall_siglip2_frozen_42,specificity_siglip2_frozen_42,dice_siglip2_frozen_43,iou_siglip2_frozen_43,precision_siglip2_frozen_43,recall_siglip2_frozen_43,specificity_siglip2_frozen_43,dice_siglip2_frozen_44,iou_siglip2_frozen_44,precision_siglip2_frozen_44,recall_siglip2_frozen_44,specificity_siglip2_frozen_44,dice_siglip2_frozen_mean,dice_siglip2_frozen_seed_sd,iou_siglip2_frozen_mean,iou_siglip2_frozen_seed_sd,precision_siglip2_frozen_mean,precision_siglip2_frozen_seed_sd,recall_siglip2_frozen_mean,recall_siglip2_frozen_seed_sd,specificity_siglip2_frozen_mean,specificity_siglip2_frozen_seed_sd,dice_siglip2_partial_42,iou_siglip2_partial_42,precision_siglip2_partial_42,recall_siglip2_partial_42,specificity_siglip2_partial_42,dice_siglip2_partial_43,iou_siglip2_partial_43,precision_siglip2_partial_43,recall_siglip2_partial_43,specificity_siglip2_partial_43,dice_siglip2_partial_44,iou_siglip2_partial_44,precision_siglip2_partial_44,recall_siglip2_partial_44,specificity_siglip2_partial_44,dice_siglip2_partial_mean,dice_siglip2_partial_seed_sd,iou_siglip2_partial_mean,iou_siglip2_partial_seed_sd,precision_siglip2_partial_mean,precision_siglip2_partial_seed_sd,recall_siglip2_partial_mean,recall_siglip2_partial_seed_sd,specificity_siglip2_partial_mean,specificity_siglip2_partial_seed_sd,dice_siglip2_full_42,iou_siglip2_full_42,precision_siglip2_full_42,recall_siglip2_full_42,specificity_siglip2_full_42,dice_siglip2_full_43,iou_siglip2_full_43,precision_siglip2_full_43,recall_siglip2_full_43,specificity_siglip2_full_43,dice_siglip2_full_44,iou_siglip2_full_44,precision_siglip2_full_44,recall_siglip2_full_44,specificity_siglip2_full_44,dice_siglip2_full_mean,dice_siglip2_full_seed_sd,iou_siglip2_full_mean,iou_siglip2_full_seed_sd,precision_siglip2_full_mean,precision_siglip2_full_seed_sd,recall_siglip2_full_mean,recall_siglip2_full_seed_sd,specificity_siglip2_full_mean,specificity_siglip2_full_seed_sd,foreground_fraction,foreground_pixels,total_pixels,lesion_size_group,gain,abs_gain
cju32srle1xfq083575i3fl75,0.977864384651184,0.9566875100135804,0.9886524677276612,0.9673091769218444,0.9992493391036988,0.9618478417396544,0.9264999032020568,0.994728147983551,0.9310716986656188,0.999666392803192,0.9643566012382508,0.931166648864746,0.9937826991081238,0.9366229772567748,0.999603807926178,0.9680229425430298,0.0086147522095277,0.9381180206934612,0.0162500485838528,0.9923877716064452,0.0032692261613654,0.9450012842814126,0.0195175748760425,0.9995065132776896,0.0002249069441649,0.959906041622162,0.9229031801223756,0.9751790165901184,0.9451040625572203,0.998373568058014,0.9480622410774232,0.9012532234191896,0.9774029850959778,0.9204317927360536,0.9985612034797668,0.9567322731018066,0.9170534610748292,0.9692989587783812,0.9444872736930848,0.997977375984192,0.9549001852671304,0.0061307676690088,0.9137366215387982,0.0111996082383845,0.9739603201548258,0.0041872098574254,0.9366743763287864,0.0140698702357524,0.9983040491739908,0.0002980575323224,0.8498232960700989,0.7388632893562317,0.7596889734268188,0.9642251133918762,0.9793775677680968,0.9377234578132628,0.8827489614486694,0.907047152519226,0.9705474376678468,0.9932752847671508,0.963539183139801,0.92964369058609,0.9823746085166932,0.9454125165939332,0.9988531470298768,0.9170286456743876,0.0596157041400151,0.8504186471303304,0.0994144219482182,0.8830369114875793,0.1132677878950741,0.9600616892178854,0.013074465189345,0.9905019998550416,0.0100296001315241,0.9662815928459167,0.9347628951072692,0.9783467650413512,0.9545103907585144,0.9985716342926024,0.9659885168075562,0.9342145323753356,0.9844700694084167,0.9481881260871888,0.998988687992096,0.9704621434211732,0.9426192045211792,0.9810904264450072,0.9600616693496704,0.9987488985061646,0.9675774176915488,0.0025025397684019,0.9371988773345948,0.0047021415896019,0.9813024202982584,0.0030671517957696,0.954253395398458,0.0059409420433819,0.998769740263621,0.0002093065484061,0.0632319185099088,21652,342422,small,-0.00044552485148097176,0.00044552485148097176
ck2bxpfgxu2mk0748gsh7xelu,0.6900997161865234,0.5268337726593018,0.8354140520095825,0.5878477096557617,0.991723358631134,0.6728657484054565,0.5070065259933472,0.8514119386672974,0.5562225580215454,0.9930626749992372,0.66766756772995,0.5011268854141235,0.8413087129592896,0.5534406900405884,0.9925395250320436,0.6768776774406433,0.0117418909053,0.5116557280222574,0.0134693103976519,0.8427115678787231,0.0080906795649071,0.5658369859059652,0.0191125264514731,0.9924418528874716,0.0006749792362259,0.6726416945457458,0.5067521333694458,0.8811669945716858,0.5439238548278809,0.9947577714920044,0.6740140318870544,0.5083115696907043,0.8917811512947083,0.5417276620864868,0.9953019022941588,0.6878702044487,0.5242394804954529,0.9109340906143188,0.5525622367858887,0.9961389303207396,0.6781753102938334,0.0084240166755613,0.513101061185201,0.0096776158716007,0.8946274121602377,0.0150862819272615,0.5460712512334188,0.0057276073295153,0.995399534702301,0.0006957362955086,0.666725754737854,0.5000664591789246,0.8447888493537903,0.5506588816642761,0.992769718170166,0.6653560996055603,0.4985270500183105,0.8537032604217529,0.5450951457023621,0.9933242797851562,0.686200737953186,0.5223025679588318,0.8842955827713013,0.5606149435043335,0.9947577714920044,0.6727608640988668,0.0116594016017274,0.5069653590520223,0.0133046957097591,0.8609292308489481,0.0207209189659048,0.5521229902903239,0.0078628074823926,0.9936172564824424,0.0010258974176215,0.6718849539756775,0.5058936476707458,0.8878999352455139,0.5404099822044373,0.9951239824295044,0.6774368286132812,0.5122150778770447,0.8830588459968567,0.5494875311851501,0.9947996139526368,0.6838381886482239,0.519569993019104,0.8984747529029846,0.5519765615463257,0.9955425262451172,0.6777199904123942,0.0059816461143734,0.5125595728556315,0.0068446777217479,0.8898111780484518,0.007883665595612,0.5472913583119711,0.0060880063144444,0.995155374209086,0.0003724496629728,0.0666988121340041,21994,329751,small,0.0008423129717508582,0.0008423129717508582
cju7dvl5m2n4t0755hlnnjjet,0.9450313448905944,0.8957908749580383,0.9620853066444396,0.9285714030265808,0.9989553689956664,0.9455525875091552,0.8967280387878418,0.9662137627601624,0.9257565140724182,0.9990758895874025,0.9567092061042786,0.917011022567749,0.977247714996338,0.9370161890983582,0.9993772506713868,0.949097712834676,0.006596896680391,0.9031766454378763,0.0119900818153851,0.9685155948003134,0.0078389080753143,0.930448035399119,0.0058597254388484,0.9991361697514852,0.0002173046495442,0.9617677927017212,0.9263513684272766,0.9587412476539612,0.9648135304450988,0.9988147616386414,0.9564763307571412,0.916583240032196,0.9465885758399964,0.9665728211402892,0.9984431266784668,0.9580007195472716,0.9193871021270752,0.9452054500579834,0.9711470603942872,0.9983928799629213,0.9587482810020448,0.0027237893593725,0.9207739035288492,0.0050295622753542,0.9501784245173136,0.0074477992913575,0.9675111373265584,0.0032693620713187,0.9985502560933432,0.0002304421201211,0.7739463448524475,0.6312500238418579,0.648513674736023,0.959535539150238,0.985154390335083,0.9623769521713256,0.9274821877479552,0.9617006182670592,0.9630541801452636,0.9989051818847656,0.9338110089302064,0.8758400082588196,0.906291365623474,0.9630541801452636,0.9971574544906616,0.8900447686513265,0.1015536128591779,0.8115240732828776,0.1582427829380993,0.8388352195421854,0.16713546641178,0.9618812998135884,0.0020314883256596,0.9937390089035034,0.007485679310188,0.9499372243881226,0.9046480059623718,0.9692420363426208,0.9313863515853882,0.9991562962532043,0.954274356365204,0.912547528743744,0.9810479283332824,0.9289233088493348,0.9994877576828004,0.946278750896454,0.8980352282524109,0.9601593613624572,0.9327937960624696,0.9988951086997986,0.95016344388326,0.0040026001733824,0.9050769209861756,0.0072656515510255,0.9701497753461202,0.0104738269079414,0.931034485499064,0.0019590878295238,0.9991797208786012,0.0002970180786913,0.0277080917747092,7886,284610,small,0.0010657310485839844,0.0010657310485839844
ck2bxskgxxzfv08386xkqtqdy,0.9307901859283448,0.8705402612686157,0.9198868870735168,0.941955029964447,0.9937465190887452,0.9409822821617126,0.8885424733161926,0.9389155507087708,0.9430580735206604,0.9953230023384094,0.9369859099388124,0.881442666053772,0.9241083264350892,0.9502274990081788,0.9940513372421264,0.93625279267629,0.005135445657196,0.8801751335461935,0.0090677940340971,0.9276369214057922,0.0099930349136967,0.9450802008310952,0.004491679548296,0.994373619556427,0.00083619631469,0.9255706071853638,0.8614531755447388,0.8897227048873901,0.96442848443985,0.9908877611160278,0.9151117205619812,0.8435077667236328,0.87410569190979,0.9601544141769408,0.989458441734314,0.9173774123191832,0.8473659157752991,0.8691092729568481,0.971322238445282,0.9888488054275512,0.9193532466888428,0.0055022739337876,0.8507756193478903,0.0094461094255181,0.8776458899180094,0.0107530528428824,0.9653017123540244,0.0056348886381815,0.9897316694259644,0.0010465778057585,0.8645105957984924,0.7613550424575806,0.7778022885322571,0.9729766845703124,0.978811740875244,0.9208203554153442,0.8532595038414001,0.8877655267715454,0.956431806087494,0.9907826781272888,0.8842684626579285,0.7925458550453186,0.8248985409736633,0.9528471231460572,0.9845817685127258,0.8898664712905884,0.0285692235196445,0.8023868004480997,0.0467358605396101,0.8301554520924886,0.0551697813744176,0.9607518712679544,0.0107376456058013,0.9847253958384196,0.0059867609171916,0.9401038289070128,0.8869772553443909,0.9086581468582152,0.97380393743515,0.9925378561019896,0.9436516761779784,0.8933148980140686,0.9097773432731628,0.9801461696624756,0.9925904273986816,0.9284184575080872,0.8664001822471619,0.8770230412483215,0.9862126111984252,0.989458441734314,0.9373913208643596,0.007970634395848,0.8822307785352071,0.014071150016201,0.8984861771265665,0.0185960426287372,0.980054239432017,0.0062048476626185,0.9915289084116616,0.0017932693974455,0.0709304950814384,21992,310050,small,0.0011385281880695874,0.0011385281880695874
cju334jzo261t0835yqudnfs1,0.9819918274879456,0.9646207094192504,0.9734275341033936,0.9907081127166748,0.993252158164978,0.9776602983474731,0.9562968611717224,0.9698734283447266,0.9855731725692748,0.9923613667488098,0.981184184551239,0.9630632996559144,0.9717944860458374,0.9907570481300354,0.9928250908851624,0.980278770128886,0.0023033383665549,0.9613269567489624,0.0044252432057301,0.9716984828313192,0.001778996739414,0.9890127778053284,0.0029788860004346,0.9928128719329834,0.0004455213955288,0.9742333889007568,0.9497612118721008,0.9570653438568116,0.992028534412384,0.9888959527015686,0.970208704471588,0.942141056060791,0.9520760774612428,0.9890453815460204,0.9875780940055848,0.9749349355697632,0.9510956406593324,0.961129069328308,0.9891431927680968,0.9900185465812684,0.973125676314036,0.0025504088847524,0.9476659695307412,0.0048310119731664,0.956756830215454,0.0045343743710091,0.9900723695755004,0.0016947942089191,0.988830864429474,0.0012215275502064,0.9778398871421814,0.956640601158142,0.9634516835212708,0.9926643371582032,0.990604281425476,0.9756802320480348,0.9525153040885924,0.9610093832015992,0.9908059239387512,0.9899697303771972,0.9768070578575134,0.9546655416488647,0.9642636179924012,0.9896811246871948,0.9908483028411864,0.9767757256825764,0.0010801684175664,0.9546071489651998,0.0020632683434632,0.9629082282384236,0.0016938178035896,0.9910504619280496,0.0015065650609756,0.9904741048812864,0.0004535216015945,0.9791777729988098,0.9592049717903136,0.9696460962295532,0.9888986945152284,0.9922759532928468,0.9802226424217224,0.961212396621704,0.9681820273399352,0.9925665259361268,0.99186110496521,0.9779342412948608,0.9568212628364564,0.9646510481834412,0.9915884137153624,0.9909337162971495,0.9791115522384644,0.0011456368627016,0.9590795437494912,0.0021982522887635,0.9674930572509766,0.0025678076414232,0.9910178780555724,0.0018993104110048,0.9916902581850688,0.0006872346796168,0.2001313293448124,65832,328944,large,-0.0011672178904216235,0.0011672178904216235
cju330ofbc2l30801th5g3hw6,0.9710215926170348,0.9436753988265992,0.9714987874031068,0.970544934272766,0.9988202452659608,0.967781901359558,0.9375750422477722,0.9772272109985352,0.9585174322128296,0.9990745186805724,0.9742832779884338,0.9498560428619384,0.9768072962760924,0.9717721939086914,0.9990440011024476,0.9710289239883424,0.0032506945149271,0.9437021613121032,0.0061405440470906,0.975177764892578,0.0031929983744998,0.9669448534647624,0.0073241117735626,0.9989795883496604,0.0001388362142446,0.9782581925392152,0.9574416875839232,0.9791000485420228,0.977417767047882,0.9991355538368224,0.9732432961463928,0.9478811621665956,0.9918450713157654,0.9553264379501344,0.9996745586395264,0.971914291381836,0.9453630447387696,0.9755192995071412,0.9683358073234558,0.998993158340454,0.974471926689148,0.0033456569207843,0.9502286314964294,0.006372312173464,0.9821548064549764,0.0085808720837034,0.967026670773824,0.011103696871107,0.9992677569389344,0.0003594229222656,0.97429621219635,0.9498806595802308,0.9716796875,0.976926863193512,0.9988202452659608,0.969935953617096,0.941626787185669,0.9737753868103028,0.9661266803741456,0.9989219307899476,0.9720296859741212,0.9455814957618712,0.9802795648574828,0.9639175534248352,0.9991965293884276,0.9720872839291892,0.0021806998561953,0.9456963141759236,0.0041281339401213,0.9752448797225952,0.004484309278517,0.9689903656641642,0.006961397506575,0.9989795684814452,0.0001946510026073,0.9769164323806764,0.9548745155334472,0.9826173186302184,0.9712812900543212,0.9992880821228028,0.9571517705917358,0.9178246259689332,0.9745611548423768,0.9403534531593324,0.9989829659461976,0.9750854969024658,0.9513822793960572,0.970345139503479,0.9798723459243774,0.9987592101097108,0.9697178999582926,0.0109210249804734,0.9413604736328124,0.0204572975305347,0.975841204325358,0.0062354222101518,0.9638356963793436,0.0207849313259253,0.9990100860595704,0.0002654769801131,0.0397815584961142,10417,261855,small,-0.00131102403004979,0.00131102403004979
cju87z6o6nh73085045bzsx6o,0.9841689467430116,0.9688313603401184,0.9759796857833862,0.9924968481063844,0.9967590570449828,0.9841664433479308,0.9688265323638916,0.9786497354507446,0.9897457361221312,0.9971351027488708,0.987649142742157,0.9755997061729432,0.988639235496521,0.98666113615036,0.998495638370514,0.9853281776110332,0.0020100151545862,0.9710858662923176,0.0039091007505924,0.9810895522435508,0.0066731236480134,0.9896345734596252,0.0029194436733002,0.9974632660547892,0.0009136175576024,0.9749539494514464,0.9511318206787108,0.9796313643455504,0.9703209400177002,0.9973231554031372,0.9767169952392578,0.9544935822486876,0.9776961207389832,0.9757398962974548,0.9970466494560242,0.9779820442199708,0.9569127559661864,0.9802345037460328,0.9757398962974548,0.9973894953727722,0.9765509963035583,0.0015208570665191,0.9541793862978616,0.0029032468928996,0.9791873296101888,0.0013261682424471,0.9739335775375366,0.0031286358668431,0.9972531000773112,0.0001818423552562,0.9759387969970704,0.9530082941055298,0.9631433486938475,0.9890787601470948,0.994978129863739,0.9642624855041504,0.930991232395172,0.9400585889816284,0.9897457361221312,0.9916265606880188,0.9857776165008544,0.971954107284546,0.9892536401748656,0.9823259711265564,0.9985841512680054,0.9753262996673584,0.0107706350873804,0.9519845445950826,0.0205006177247353,0.9641518592834472,0.0246130267477063,0.987050155798594,0.0041048331085997,0.9950629472732544,0.0034795706867941,0.9853008985519408,0.971027672290802,0.9899023771286012,0.9807419776916504,0.9986726641654968,0.9831483960151672,0.9668553471565248,0.9838050007820128,0.9824926853179932,0.9978541135787964,0.98328959941864,0.9671284556388856,0.9830028414726256,0.983576476573944,0.9977434873580932,0.983912964661916,0.0012040577073369,0.9683371583620708,0.0023340514050266,0.9855700731277466,0.0037732622962464,0.982270379861196,0.0014302659771952,0.9980900883674622,0.0005075484809538,0.1172177394891706,38642,329660,medium,-0.0014152129491171728,0.0014152129491171728
cju0s690hkp960855tjuaqvv0,0.9406569004058838,0.8879624605178833,0.977624773979187,0.906382977962494,0.9992092251777648,0.97091543674469,0.9434748888015748,0.978654444217682,0.9632978439331056,0.9991990923881532,0.9495387673377992,0.903925597667694,0.9689922332763672,0.9308510422706604,0.9988645315170288,0.9537037014961244,0.0155532878437037,0.9117876489957174,0.0285791237059738,0.975090483824412,0.005306274588641,0.9335106213887532,0.0285504905899568,0.9990909496943156,0.0001961493349739,0.9135119915008544,0.8407934904098511,0.9505462646484376,0.8792552947998047,0.998256266117096,0.9173162579536438,0.8472614884376526,0.9623247385025024,0.876329779624939,0.9986922144889832,0.9489673376083374,0.90289044380188,0.9508678317070008,0.9470744729042052,0.9981346130371094,0.9265985290209452,0.0194651177501061,0.8636484742164612,0.0341380708641995,0.9545796116193136,0.0067094034139265,0.9008865157763164,0.0400266810701983,0.998361031214396,0.0002931921537015,0.9598958492279052,0.9228843450546264,0.9403061270713806,0.9803191423416138,0.9976277351379396,0.9373019337654114,0.882002055644989,0.9725478887557985,0.9045212864875792,0.9990267753601074,0.9608522057533264,0.9246540069580078,0.9621333479881288,0.9595744609832764,0.9985604286193848,0.9526833295822144,0.0133292594470135,0.9098468025525412,0.0241304863931975,0.9583291212717692,0.0164540847454605,0.9481382966041564,0.0391716495669628,0.9984049797058104,0.0007123564131524,0.9668105840682985,0.9357534646987916,0.9811062216758728,0.9529255032539368,0.999300479888916,0.9373375177383424,0.8820650577545166,0.9168362021446228,0.958776593208313,0.9966849088668824,0.9614555239677428,0.9257721304893494,0.9745901823043824,0.948670208454132,0.9990571737289428,0.9552012085914612,0.0157004062158273,0.9145302176475524,0.0285551521325038,0.9575108687082926,0.0353756422884729,0.9534574349721272,0.0050741468952424,0.9983475208282472,0.0014449942465023,0.0366238264515541,12054,329130,small,0.001497507095336803,0.001497507095336803
cju8dic9mtppa0987swn23wbc,0.982726275920868,0.96603924036026,0.9816689491271972,0.9837859272956848,0.9940537810325624,0.9714239835739136,0.944435715675354,0.9818864464759828,0.9611821174621582,0.9942606091499328,0.984508454799652,0.9694895148277284,0.9792572259902954,0.9898163080215454,0.9932135343551636,0.9795529047648112,0.0070960242519923,0.9599881569544474,0.0135788409218148,0.9809375405311584,0.0014592528880762,0.9782614509264628,0.0150953336039119,0.9938426415125527,0.0005545505650007,0.972171187400818,0.945849359035492,0.9826214909553528,0.9619408845901488,0.994493305683136,0.9643622636795044,0.931177258491516,0.9769691228866576,0.9520766735076904,0.9927352666854858,0.9699527621269226,0.9416584968566896,0.9810064435005188,0.9591453671455384,0.9939891695976256,0.9688287377357484,0.0040239775776325,0.9395617047945658,0.0075574490608256,0.9801990191141764,0.0029114028922061,0.957720975081126,0.0050840274030235,0.9937392473220824,0.0009052740674371,0.9732449650764464,0.9478842616081238,0.9850691556930542,0.961701273918152,0.9952818155288696,0.9739563465118408,0.9492347836494446,0.9794434905052184,0.9685303568840028,0.9934203624725342,0.9715821146965028,0.944734752178192,0.9545647501945496,0.9892172813415528,0.9847595691680908,0.9729278087615968,0.0012184766203245,0.9472845991452536,0.0023091702216592,0.9730257987976074,0.0162332918363699,0.973149637381236,0.0143278044502726,0.9911539157231648,0.0056153363897477,0.97980797290802,0.960415244102478,0.991937816143036,0.9679712653160096,0.9974534511566162,0.985003650188446,0.9704504013061525,0.9943838715553284,0.975798726081848,0.998216152191162,0.9792859554290771,0.9594126343727112,0.9853636622428894,0.973282754421234,0.9953205585479736,0.9813658595085144,0.0031612127950089,0.9634260932604471,0.0061038499496854,0.9905617833137512,0.0046648841111548,0.9723509152730306,0.0039960641459789,0.9969967206319174,0.0015008556612019,0.2452248636886213,79561,324441,large,0.0018129547437032434,0.0018129547437032434
cjyzl833ndne80838pzuq6ila,0.974601149559021,0.9504604935646056,0.9670594930648804,0.9822613000869752,0.9947589635849,0.9589181542396544,0.9210785031318665,0.9722798466682434,0.9459186792373656,0.9957755208015442,0.9711255431175232,0.943871796131134,0.9783388376235962,0.9640178680419922,0.996656596660614,0.9682149489720664,0.0082366713092422,0.9384702642758688,0.0154177738417379,0.97255939245224,0.0056448660570974,0.964065949122111,0.0181713581329882,0.9957303603490194,0.0009496222524589,0.9705565571784972,0.9427973628044128,0.966599941253662,0.97454571723938,0.9947250485420228,0.9682923555374146,0.93853360414505,0.9548513889312744,0.9821171164512634,0.9927257895469666,0.967136800289154,0.9363648891448976,0.9532179832458496,0.981468141078949,0.992454707622528,0.968661904335022,0.0017395715078467,0.9392319520314536,0.0032726054869052,0.9582231044769288,0.0073003800806066,0.979376991589864,0.0041965701645155,0.9933018485705056,0.0012399576491291,0.973436176776886,0.9482470750808716,0.9640735387802124,0.9829823970794678,0.9942619800567628,0.962522268295288,0.9277521967887878,0.9512040615081788,0.9741130471229552,0.9921723008155824,0.9691388607025146,0.9401255249977112,0.9558843970298768,0.982766091823578,0.992895245552063,0.9683657685915628,0.0054978726017602,0.9387082656224568,0.0103206820101382,0.9570539991060892,0.0065139725265277,0.9799538453420004,0.0050594357262081,0.9931098421414694,0.0010612391836403,0.9717388153076172,0.9450311064720154,0.9690906405448914,0.9744014739990234,0.9951317310333252,0.9695210456848145,0.9408450722694396,0.9757522344589232,0.9633688926696776,0.9962499141693116,0.9690195322036744,0.9399009943008424,0.9659644365310668,0.9720940589904784,0.9946346879005432,0.9700931310653688,0.0014470958544028,0.9419257243474324,0.0027304522349707,0.9702691038449606,0.0049991828213564,0.96995480855306,0.0058190855830322,0.99533877770106,0.0008272788023362,0.135378086419753,56144,414720,medium,0.0018781820933023718,0.0018781820933023718
