,dice_siglip2_full_42,dice_siglip2_full_43,dice_siglip2_full_44
dice_siglip2_full_42,1.0,0.8657864133514129,0.9343036310364934
dice_siglip2_full_43,0.8657864133514129,1.0,0.9263180770244496
dice_siglip2_full_44,0.9343036310364934,0.9263180770244496,1.0
