image_id,mean_dice,seed_sd,foreground_fraction,lesion_size_group,method
cju160wshltz10993i1gmqxbe,0.6210893218715986,0.5072650115028644,0.02652077958409748,small,resunet_paper
cjyzu9th0qt4r0a46pyl4zik0,0.4548615093032519,0.3887964224379382,0.06599151234567902,small,resunet_paper
cju0sxqiclckk08551ycbwhno,0.6550854245821635,0.33599753963020446,0.043506128787127896,small,resunet_paper
cju884985nlmx0817vzpax3y4,0.5677098631858826,0.31978313588819596,0.01840253262577721,small,resunet_paper
cju32qr9tbvsj08013pkpjenq,0.5588560899098715,0.2732055859881113,0.06668453497721791,small,siglip2_full
cju7eea9b2m0z0801ynqv1fqu,0.3097134147149821,0.2651311873871951,0.11344180293988478,medium,resunet_paper
cju16whaj0e7n0855q7b6cjkm,0.5675047636032104,0.23347988195896538,0.26006798628592787,large,siglip2_partial
cju85plp7lmkw0850rx42jdpf,0.7807026704152426,0.23175879343972394,0.3067873876155502,large,siglip2_partial
cju0tl3uz8blh0993wxvn7ly3,0.6941163937250773,0.21651818978423085,0.00527294719758812,small,siglip2_partial
cju0sxqiclckk08551ycbwhno,0.6530314087867737,0.1982507195112216,0.043506128787127896,small,siglip2_full
cju7dxffn2eam0817qxosfwch,0.7112830877304077,0.19232805282862436,0.17434083488396587,large,siglip2_full
cju8ceacrsqkr0755hdz145es,0.7619031469027201,0.18680535341253587,0.039174495101841476,small,resunet_paper
cju15ptjtppz40988odsm9azx,0.7339723904927572,0.1781727697427544,0.0594885697092737,small,resunet_paper
cju15l5ubz9yh0855b3ivdpse,0.6656116644541422,0.1683421165869269,0.03482544929940249,small,resunet_paper
cju15ptjtppz40988odsm9azx,0.7600157658259074,0.15312938996295167,0.0594885697092737,small,siglip2_full
cju16jgnyzp970878melv7r25,0.8535853028297424,0.1527131904870535,0.1164461247637051,medium,resunet_paper
cju16whaj0e7n0855q7b6cjkm,0.5354770024617513,0.15088113833502848,0.26006798628592787,large,siglip2_frozen
cju0sxqiclckk08551ycbwhno,0.6370231707890829,0.14819587213265717,0.043506128787127896,small,siglip2_frozen
cju0sr5ghl0nd08789uzf1raf,0.8728166619936625,0.1474327721541053,0.13352965807806536,medium,siglip2_full
cju16whaj0e7n0855q7b6cjkm,0.17235267907381055,0.14373231078949825,0.26006798628592787,large,resunet_paper
cjyzuio1qgh040763k56deohv,0.8579168319702148,0.14312033963679582,0.012497588734567902,small,resunet_paper
cju7dxffn2eam0817qxosfwch,0.7136572202046713,0.13840746927200853,0.17434083488396587,large,resunet_paper
cju33231uy4gi0993qc7b1jch,0.5935593644777933,0.12895860360332848,0.05771065955907828,small,resunet_paper
cju87ox0kncom0801b98hqnd2,0.8858708739280701,0.12630888862912995,0.06512071528045969,small,siglip2_frozen
cju33231uy4gi0993qc7b1jch,0.841211199760437,0.1174758954382662,0.05771065955907828,small,siglip2_frozen
cju7dqcwi2dz00850gcmr2ert,0.7854881683985392,0.10968553698477286,0.054525358082432036,small,resunet_paper
cju8doa16u5gh0818w1ywda3q,0.5293617943922678,0.10732706717727794,0.7187133401005354,large,resunet_paper
cju7eea9b2m0z0801ynqv1fqu,0.8673410018285116,0.10624804923027346,0.11344180293988478,medium,siglip2_full
cju0sxqiclckk08551ycbwhno,0.49003424247105914,0.10316886075420548,0.043506128787127896,small,siglip2_partial
cju85plp7lmkw0850rx42jdpf,0.7675630648930868,0.10310028436335887,0.3067873876155502,large,resunet_paper
cju7dvl5m2n4t0755hlnnjjet,0.8900447686513265,0.10155361285917794,0.027708091774709252,small,siglip2_partial
cju13fwthn9mq0835gacxgy01,0.881774365901947,0.09736851746938731,0.1384634990760604,medium,resunet_paper
cju87q6yoneim0871dl4phvkd,0.8158425092697144,0.0944304463568081,0.25841730154829196,large,resunet_paper
cju16fpvhzypl0799p9phnlx6,0.6534360845883688,0.09357402963840887,0.10568584769862725,medium,resunet_paper
ck2395w2mb4vu07480otsu6tw,0.7821306983629862,0.09178333461824154,0.12433207947530864,medium,resunet_paper
cju7druhp2gp308715i6km7be,0.7935662865638733,0.09153016684203587,0.32219218481199313,large,siglip2_partial
cju85qefyln6v0850szeb9byi,0.768712043762207,0.09048905636160083,0.38419062779822905,large,resunet_paper
cju87nkyrnb970801q84m47yt,0.7611834605534872,0.08648241669881804,0.09164942178940962,medium,resunet_paper
cju87ox0kncom0801b98hqnd2,0.8113077282905579,0.08517859056947244,0.06512071528045969,small,resunet_paper
cju87xn2snfmv0987sc3d9xnq,0.660691499710083,0.08495202435222203,0.16491940522304135,medium,siglip2_full
cju13fwthn9mq0835gacxgy01,0.8721099893252054,0.08356603309434144,0.1384634990760604,medium,siglip2_partial
cju336l68y7if0993wf092166,0.8898553450902303,0.08280018037359455,0.22595876889219715,large,resunet_paper
cju14pxbaoksp0835qzorx6g6,0.8934324383735657,0.07865902760906064,0.07176788206030456,small,siglip2_frozen
ck2bxiswtxuw80838qkisqjwz,0.5080296496550242,0.07808155785946835,0.44238820760559894,large,resunet_paper
cju0tl3uz8blh0993wxvn7ly3,0.146343487004439,0.07786769167269887,0.00527294719758812,small,siglip2_frozen
ck2bxknhjvs1x0794iogrq49k,0.8112485210100809,0.0775680440024939,0.11980187446605357,medium,resunet_paper
cju0tl3uz8blh0993wxvn7ly3,0.3867421845595042,0.07697685613065007,0.00527294719758812,small,resunet_paper
cju7ebe962hr409872ovibahw,0.7988695502281189,0.07212528456837242,0.4367287508341928,large,resunet_paper
cju7eea9b2m0z0801ynqv1fqu,0.6845639745394388,0.07041155038416137,0.11344180293988478,medium,siglip2_partial
cju16fpvhzypl0799p9phnlx6,0.7895873387654623,0.07030549448271482,0.10568584769862725,medium,siglip2_frozen
ck2395w2mb4vu07480otsu6tw,0.8606388966242472,0.0694383202742448,0.12433207947530864,medium,siglip2_frozen
cjyzu9th0qt4r0a46pyl4zik0,0.7860439618428549,0.06794927320616809,0.06599151234567902,small,siglip2_partial
ck2bxw18mmz1k0725litqq2mc,0.27836983402570087,0.0644086693945375,0.30569444444444444,large,siglip2_full
cjyzufihqquiw0a46jatrbwln,0.8581903378168741,0.06405368476911014,0.39696903935185185,large,resunet_paper
cju33jon3ygbj0993pu22a4k6,0.9052189389864603,0.06318970909793449,0.04125611088072612,small,resunet_paper
ck2bxqz3evvg20794iiyv5v2m,0.32347460587819415,0.06306795265363489,0.08724922839506173,medium,siglip2_frozen
cju884985nlmx0817vzpax3y4,0.8129143118858337,0.05995151317723147,0.01840253262577721,small,siglip2_frozen
cju32srle1xfq083575i3fl75,0.9170286456743876,0.05961570414001513,0.06323191850990882,small,siglip2_partial
cju15mhjczc8z0801kit5c6di,0.7117468516031901,0.05837652304142359,0.1346858269935193,medium,resunet_paper
cju8dqkrqu83i0818ev74qpxq,0.7796067992846171,0.058265777491105605,0.5962082975124102,large,siglip2_frozen
cju15l5ubz9yh0855b3ivdpse,0.8392892678578695,0.05804278411740363,0.03482544929940249,small,siglip2_partial
cju87li0zn3yb0817kbwgjiz8,0.9440262913703918,0.05634875075151546,0.6329367752776038,large,siglip2_full
cju0u2g7pmnux0801vkk47ivj,0.8864629069964091,0.05624593344256421,0.29237871722817527,large,resunet_paper
cju32qr9tbvsj08013pkpjenq,0.7414275606473287,0.05426328410543773,0.06668453497721791,small,siglip2_frozen
cju87xn2snfmv0987sc3d9xnq,0.8864845633506775,0.05383830748214118,0.16491940522304135,medium,siglip2_partial
cju7dwe282dc309876rco45ts,0.8729876279830933,0.053169054956586866,0.31843717769823454,large,siglip2_frozen
cju33eqwbcch208012jikwdky,0.776308019955953,0.05201683814735614,0.13928719533207562,medium,resunet_paper
cju0tl3uz8blh0993wxvn7ly3,0.8690892060597738,0.05111650189198811,0.00527294719758812,small,siglip2_full
cju85plp7lmkw0850rx42jdpf,0.6877081592877706,0.05081012806331189,0.3067873876155502,large,siglip2_frozen
ck2bxqz3evvg20794iiyv5v2m,0.2172034531831741,0.05017261854827674,0.08724922839506173,medium,resunet_paper
cju87vqa0ndwg0850onjdz7ol,0.90665070215861,0.0494261391890197,0.6733168182435184,large,siglip2_full
