image_id,dice_resunet_paper_42,iou_resunet_paper_42,precision_resunet_paper_42,recall_resunet_paper_42,specificity_resunet_paper_42,dice_resunet_paper_43,iou_resunet_paper_43,precision_resunet_paper_43,recall_resunet_paper_43,specificity_resunet_paper_43,dice_resunet_paper_44,iou_resunet_paper_44,precision_resunet_paper_44,recall_resunet_paper_44,specificity_resunet_paper_44,dice_resunet_paper_mean,dice_resunet_paper_seed_sd,iou_resunet_paper_mean,iou_resunet_paper_seed_sd,precision_resunet_paper_mean,precision_resunet_paper_seed_sd,recall_resunet_paper_mean,recall_resunet_paper_seed_sd,specificity_resunet_paper_mean,specificity_resunet_paper_seed_sd,dice_siglip2_frozen_42,iou_siglip2_frozen_42,precision_siglip2_frozen_42,recall_siglip2_frozen_42,specificity_siglip2_frozen_42,dice_siglip2_frozen_43,iou_siglip2_frozen_43,precision_siglip2_frozen_43,recall_siglip2_frozen_43,specificity_siglip2_frozen_43,dice_siglip2_frozen_44,iou_siglip2_frozen_44,precision_siglip2_frozen_44,recall_siglip2_frozen_44,specificity_siglip2_frozen_44,dice_siglip2_frozen_mean,dice_siglip2_frozen_seed_sd,iou_siglip2_frozen_mean,iou_siglip2_frozen_seed_sd,precision_siglip2_frozen_mean,precision_siglip2_frozen_seed_sd,recall_siglip2_frozen_mean,recall_siglip2_frozen_seed_sd,specificity_siglip2_frozen_mean,specificity_siglip2_frozen_seed_sd,dice_siglip2_partial_42,iou_siglip2_partial_42,precision_siglip2_partial_42,recall_siglip2_partial_42,specificity_siglip2_partial_42,dice_siglip2_partial_43,iou_siglip2_partial_43,precision_siglip2_partial_43,recall_siglip2_partial_43,specificity_siglip2_partial_43,dice_siglip2_partial_44,iou_siglip2_partial_44,precision_siglip2_partial_44,recall_siglip2_partial_44,specificity_siglip2_partial_44,dice_siglip2_partial_mean,dice_siglip2_partial_seed_sd,iou_siglip2_partial_mean,iou_siglip2_partial_seed_sd,precision_siglip2_partial_mean,precision_siglip2_partial_seed_sd,recall_siglip2_partial_mean,recall_siglip2_partial_seed_sd,specificity_siglip2_partial_mean,specificity_siglip2_partial_seed_sd,dice_siglip2_full_42,iou_siglip2_full_42,precision_siglip2_full_42,recall_siglip2_full_42,specificity_siglip2_full_42,dice_siglip2_full_43,iou_siglip2_full_43,precision_siglip2_full_43,recall_siglip2_full_43,specificity_siglip2_full_43,dice_siglip2_full_44,iou_siglip2_full_44,precision_siglip2_full_44,recall_siglip2_full_44,specificity_siglip2_full_44,dice_siglip2_full_mean,dice_siglip2_full_seed_sd,iou_siglip2_full_mean,iou_siglip2_full_seed_sd,precision_siglip2_full_mean,precision_siglip2_full_seed_sd,recall_siglip2_full_mean,recall_siglip2_full_seed_sd,specificity_siglip2_full_mean,specificity_siglip2_full_seed_sd,foreground_fraction,foreground_pixels,total_pixels,lesion_size_group
cju0s690hkp960855tjuaqvv0,0.9406569004058838,0.8879624605178833,0.977624773979187,0.906382977962494,0.9992092251777648,0.97091543674469,0.9434748888015748,0.978654444217682,0.9632978439331056,0.9991990923881532,0.9495387673377992,0.903925597667694,0.9689922332763672,0.9308510422706604,0.9988645315170288,0.9537037014961243,0.01555328784370374,0.9117876489957174,0.02857912370597381,0.975090483824412,0.005306274588641057,0.9335106213887533,0.028550490589956887,0.9990909496943156,0.00019614933497396906,0.9135119915008544,0.8407934904098511,0.9505462646484376,0.8792552947998047,0.998256266117096,0.9173162579536438,0.8472614884376526,0.9623247385025024,0.876329779624939,0.9986922144889832,0.9489673376083374,0.90289044380188,0.9508678317070008,0.9470744729042052,0.9981346130371094,0.9265985290209452,0.01946511775010617,0.8636484742164612,0.03413807086419955,0.9545796116193136,0.006709403413926514,0.9008865157763163,0.04002668107019831,0.9983610312143961,0.0002931921537015934,0.9598958492279052,0.9228843450546264,0.9403061270713806,0.9803191423416138,0.9976277351379396,0.9373019337654114,0.882002055644989,0.9725478887557985,0.9045212864875792,0.9990267753601074,0.9608522057533264,0.9246540069580078,0.9621333479881288,0.9595744609832764,0.9985604286193848,0.9526833295822144,0.013329259447013596,0.9098468025525411,0.024130486393197544,0.9583291212717692,0.016454084745460503,0.9481382966041565,0.039171649566962806,0.9984049797058105,0.0007123564131524452,0.9668105840682985,0.9357534646987916,0.9811062216758728,0.9529255032539368,0.999300479888916,0.9373375177383424,0.8820650577545166,0.9168362021446228,0.958776593208313,0.9966849088668824,0.9614555239677428,0.9257721304893494,0.9745901823043824,0.948670208454132,0.9990571737289428,0.9552012085914612,0.015700406215827398,0.9145302176475525,0.02855515213250381,0.9575108687082926,0.03537564228847296,0.9534574349721273,0.005074146895242435,0.9983475208282471,0.0014449942465023181,0.0366238264515541,12054,329130,small
cju0sr5ghl0nd08789uzf1raf,0.9257737994194032,0.861805260181427,0.9280882477760316,0.9234708547592164,0.9889780282974244,0.8551307916641235,0.7469244003295898,0.8712984323501587,0.8395522236824036,0.9808975458145142,0.874435305595398,0.7768858671188354,0.8008031249046326,0.9629791975021362,0.963102400302887,0.8851132988929749,0.036511960941935845,0.7952051758766174,0.05959111339030823,0.8667299350102743,0.06376542168021149,0.9086674253145853,0.06303102893865742,0.9776593248049418,0.013238262254089445,0.9324305653572084,0.8734143972396851,0.891484260559082,0.9773193001747132,0.981675148010254,0.94600647687912,0.8975448608398438,0.919944703578949,0.973587930202484,0.9869494438171388,0.9538295269012452,0.9117342829704284,0.939972996711731,0.9681006669998168,0.9904769659042358,0.9440888563791913,0.010827596228023213,0.8942311803499857,0.01937366174464588,0.9171339869499207,0.02436625698372286,0.9730026324590048,0.004637103566852579,0.9863671859105428,0.004429702897717829,0.9525799751281738,0.9094536304473876,0.9231244325637816,0.983977198600769,0.98737770318985,0.9549633264541626,0.9138084053993224,0.9307542443275452,0.980465292930603,0.9887639284133912,0.9482831358909608,0.9016525149345398,0.9133234024047852,0.9860257506370544,0.9855858087539672,0.9519421458244324,0.0033854624729431015,0.9083048502604166,0.0061588302612128375,0.922400693098704,0.008737929482666081,0.9834894140561422,0.0028121384741494095,0.9872424801190695,0.0015933691039925098,0.9559618830680848,0.9156388640403748,0.930282473564148,0.9830992221832277,0.9886512160301208,0.7025911211967468,0.5415341258049011,0.941378891468048,0.5604331493377686,0.9946242570877076,0.959896981716156,0.9228864312171936,0.9391669631004332,0.9815627932548524,0.9902064800262452,0.8728166619936625,0.1474327721541053,0.7933531403541565,0.21811176922374959,0.9369427760442098,0.005873063818851492,0.8416983882586161,0.24358405350589787,0.9911606510480245,0.0030987314538383163,0.13352965807806536,165185,1237066,medium
cju0sxqiclckk08551ycbwhno,0.8046122193336487,0.6730971932411194,0.6733001470565796,0.9995523691177368,0.977872371673584,0.8903633952140808,0.8023918867111206,0.8185060024261475,0.976051926612854,0.9901257753372192,0.270280659198761,0.1562569439411163,0.9577656388282776,0.1573410928249359,0.999683439731598,0.6550854245821635,0.33599753963020446,0.5439153412977854,0.3418896813604225,0.8165239294370016,0.14224310339074164,0.7109817961851755,0.4796108724918535,0.9892271955808004,0.010933263768967354,0.6720789074897766,0.506113588809967,0.5083792209625244,0.9912712574005128,0.9562655687332152,0.7645481824874878,0.6188409924507141,0.6229392886161804,0.98948073387146,0.9726749062538148,0.4744424223899841,0.3109960854053497,0.311475396156311,0.9950761198997498,0.899644672870636,0.6370231707890829,0.14819587213265717,0.4786502222220103,0.1557491543370321,0.48093130191167194,0.15753564762214897,0.9919427037239075,0.0028574842651002226,0.9428617159525553,0.03831580873509777,0.4560523927211761,0.2953807413578033,0.2955962419509887,0.9975380301475524,0.8915472030639648,0.4081427156925201,0.2563940584659576,0.2564972341060638,0.9984332919120787,0.8679593801498413,0.6059076189994812,0.4346251785755157,0.4357766509056091,0.9939570426940918,0.9412857890129088,0.49003424247105914,0.10316886075420548,0.32879999279975886,0.09369748032408566,0.32929004232088716,0.09426946196685966,0.9966427882512411,0.002368606194593273,0.9002641240755717,0.0374323268463287,0.4410109519958496,0.2828826606273651,0.2829005718231201,0.9997761845588684,0.884378969669342,0.833800196647644,0.7149719595909119,0.715315580368042,0.9993285536766052,0.9818547368049622,0.6842830777168274,0.5200838446617126,0.5201444029808044,0.9997761845588684,0.9579197764396667,0.6530314087867737,0.1982507195112216,0.5059794882933298,0.21638967216835253,0.5061201850573221,0.2165483639282463,0.9996269742647806,0.0002584398103722387,0.941384494304657,0.05079806060404954,0.043506128787127896,13168,302670,small
cju0t4oil7vzk099370nun5h9,0.8807482123374939,0.7869080305099487,0.9840678572654724,0.7970626950263977,0.993358552455902,0.9554311633110046,0.9146655797958374,0.9853704571723938,0.9272575974464417,0.992914855480194,0.9595839381217957,0.9223079085350036,0.9815165400505066,0.9386100769042968,0.9909031987190248,0.931921104590098,0.044365640542876894,0.8746271729469299,0.07606304792439568,0.9836516181627909,0.0019603853035933152,0.8876434564590454,0.07865033664104007,0.9923922022183737,0.001308459138593124,0.9734488129615784,0.948271095752716,0.9604464173316956,0.9868080615997314,0.9790846705436708,0.9728299379348756,0.9470973014831544,0.9631027579307556,0.9827556610107422,0.9806230068206788,0.9727043509483336,0.9468592405319214,0.9638795852661132,0.9816922545433044,0.9810667634010316,0.9729943672815958,0.00039853943322868703,0.9474092125892639,0.000755844028028972,0.9624762535095215,0.0018002892431072835,0.9837519923845927,0.002699514329381528,0.9802581469217938,0.0010401995400696176,0.9734287858009338,0.9482330679893494,0.9586445093154908,0.9886761903762816,0.9780492782592772,0.9755986332893372,0.9523597955703736,0.9654939770698548,0.9859170913696288,0.9818655252456664,0.9761200547218324,0.953354001045227,0.9707512855529784,0.981548547744751,0.9847794771194458,0.9750491579373678,0.0014272962106602126,0.9513156215349833,0.002715458230728771,0.9649632573127747,0.006070811750628151,0.9853806098302206,0.0035939785339227813,0.9815647602081299,0.003375165015255826,0.9776965379714966,0.9563663005828856,0.9789925813674928,0.9764039516448976,0.989216923713684,0.9777294993400574,0.9564293026924132,0.9725856184959412,0.9829280972480774,0.9857409000396729,0.9786521196365356,0.9581966400146484,0.9750919938087464,0.9822382926940918,0.9870869517326356,0.9780260523160299,0.0005424406237629271,0.9569974144299825,0.0010390374481410083,0.9755567312240601,0.003228665197609469,0.9805234471956888,0.0035842210137513983,0.9873482584953308,0.0017526825336449626,0.33988958320694046,112048,329660,large
cju0tl3uz8blh0993wxvn7ly3,0.474180519580841,0.3107710480690002,0.3116883039474487,0.9906191229820251,0.9885537028312684,0.356855571269989,0.217178463935852,0.2216167151927948,0.915572226047516,0.9831741452217102,0.3291904628276825,0.1970245242118835,0.2004909962415695,0.9193245768547058,0.9808181524276732,0.3867421845595042,0.07697685613065007,0.24165801207224522,0.06069599764495102,0.24459867179393768,0.05905368792185298,0.9418386419614156,0.04228677725479429,0.9841820001602173,0.0039650364051853635,0.1120154187083244,0.0593306869268417,0.0593980699777603,0.9812382459640504,0.9186978936195374,0.0915383249521255,0.0479644574224948,0.047981858253479,0.99249529838562,0.8969637155532837,0.2354767173528671,0.1334506124258041,0.1335177272558212,0.99624764919281,0.9661715626716614,0.146343487004439,0.07786769167269887,0.08024858559171354,0.046423480456853315,0.08029921849568683,0.046440711972608455,0.9899937311808268,0.007811141093396475,0.9272777239481608,0.03539267780263539,0.4448160529136657,0.2860215008258819,0.2861753702163696,0.998123824596405,0.986973226070404,0.8024224042892456,0.6700379252433777,0.6725888252258301,0.9943714737892152,0.997467279434204,0.8351107239723206,0.716901421546936,0.7419825196266174,0.9549718499183656,0.9982624650001526,0.6941163937250773,0.21651818978423085,0.5576536158720652,0.23640442310751217,0.5669155716896057,0.2455914631009644,0.9824890494346619,0.023904335089263613,0.9942343235015869,0.006300851684488424,0.867986798286438,0.7667638659477234,0.7746686339378357,0.9868667721748352,0.9984980225563048,0.9207479953765868,0.8531352877616882,0.8762711882591248,0.9699812531471252,0.9992833733558656,0.8185328245162964,0.6928104758262634,0.6955380439758301,0.9943714737892152,0.9977225065231324,0.8690892060597738,0.05111650189198811,0.770903209845225,0.08024251962930047,0.7821592887242635,0.09059911584821691,0.9837398330370585,0.012492158621350327,0.9985013008117676,0.0007804385802872426,0.00527294719758812,1735,329038,small
cju0u2g7pmnux0801vkk47ivj,0.9375155568122864,0.8823805451393127,0.9322985410690308,0.9427912831306458,0.9717073440551758,0.826168417930603,0.7038219571113586,0.8970226049423218,0.7656881213188171,0.963675022125244,0.8957047462463379,0.8111097812652588,0.8698703646659851,0.923120617866516,0.9429316520690918,0.8864629069964091,0.05624593344256421,0.7991040945053101,0.08988267199837612,0.8997305035591125,0.03130205805440849,0.8772000074386597,0.09707167108630047,0.9594380060831705,0.01484837839715454,0.9506614208221436,0.9059625267982484,0.9899128675460817,0.914404034614563,0.9961494207382202,0.9565772414207458,0.9167686104774476,0.9893655180931092,0.9258925318717957,0.9958872199058532,0.9546305537223816,0.9131991863250732,0.9921472668647766,0.9198477268218994,0.9969913363456726,0.953956405321757,0.003014977676245767,0.9119767745335897,0.005505776880825478,0.9904752175013224,0.0014736721688651678,0.9200480977694193,0.005746869034075699,0.996342658996582,0.0005768657092780893,0.9609412550926208,0.924818992614746,0.9892492294311525,0.934208333492279,0.9958044290542604,0.9659539461135864,0.9341498017311096,0.9795357584953308,0.9527435302734376,0.9917744398117064,0.9649358987808228,0.9322474598884584,0.9844673275947572,0.94616436958313,0.9938308000564576,0.9639436999956766,0.0026495493276878696,0.9304054180781046,0.00493060221624317,0.9844174385070801,0.004856927639574723,0.9443720777829488,0.009396680922103025,0.9938032229741415,0.0020151361480994054,0.9678808450698853,0.9377607107162476,0.990800678730011,0.945997416973114,0.996370255947113,0.9696213603019714,0.9410340785980223,0.992653489112854,0.9476338624954224,0.9971017241477966,0.9686540961265564,0.9392135739326476,0.9897536039352416,0.948435366153717,0.9959424138069152,0.9687187671661377,0.000872057954382275,0.9393361210823059,0.0016401212379808133,0.9910692572593689,0.0014684802792881068,0.9473555485407511,0.0012425751666697252,0.9964714646339417,0.000586244416038093,0.29237871722817527,94681,323830,large
cju0u82z3cuma0835wlxrnrjv,0.9102737307548524,0.8353232741355896,0.8891947865486145,0.9323763251304626,0.9619000554084778,0.8503060936927795,0.739593505859375,0.9346476197242736,0.7799264192581177,0.9821171760559082,0.9084500074386596,0.8322568535804749,0.925773859024048,0.8917625546455383,0.9765539169311525,0.8896766106287638,0.03410805908489189,0.8023912111918131,0.05440601602782551,0.9165387550989786,0.024092641393249018,0.8680217663447062,0.07894911159715735,0.9735237161318461,0.010443638230103377,0.9501262307167052,0.9049909114837646,0.9199036955833436,0.9824020266532898,0.9719502329826356,0.9526253938674928,0.9095364809036256,0.9440065026283264,0.9614030718803406,0.981300175189972,0.9373350143432616,0.882060706615448,0.9077470302581788,0.9689168334007264,0.9677097201347352,0.9466955463091532,0.008202202333941927,0.8988626996676127,0.01472738192047175,0.9238857428232828,0.018454805859347466,0.9709073106447855,0.010640043474226491,0.9736533761024476,0.006953462412138662,0.9328799843788148,0.8742035031318665,0.884046196937561,0.987424373626709,0.957529842853546,0.9298229217529296,0.8688496351242065,0.8769187927246094,0.9895203113555908,0.9544564485549928,0.9577080011367798,0.9188480973243712,0.9326213002204896,0.984181582927704,0.9766835570335388,0.9401369690895081,0.015293537307612444,0.8873004118601481,0.027451927423644204,0.8978620966275533,0.03031256585172386,0.9870420893033346,0.0026898162176262467,0.9628899494806925,0.01204405019584559,0.9480159878730774,0.9011695384979248,0.9170239567756652,0.9811760783195496,0.9708868861198424,0.929347038269043,0.8680188655853271,0.8823989629745483,0.9815715551376344,0.9571019411087036,0.9137492179870604,0.8411954641342163,0.8562588691711426,0.9795151948928832,0.9460791349411012,0.9303707480430603,0.017156306883515857,0.8701279560724894,0.030042613001504844,0.8852272629737854,0.03048111593364963,0.9807542761166891,0.0010911426065376556,0.9580226540565491,0.012429477619185447,0.24693091785743543,84400,341796,large
cju0ue769mxii08019zqgdbxn,0.9529885053634644,0.9101987481117249,0.9144848585128784,0.9948770403862,0.9953445196151732,0.951183557510376,0.9069114327430724,0.9134125709533693,0.9922131299972534,0.9952932596206664,0.9561122059822084,0.91591477394104,0.9354901909828186,0.9776639342308044,0.996626317501068,0.9534280896186829,0.0024935556295781654,0.9110083182652792,0.00455594019461403,0.9211292068163554,0.012448528018389329,0.9882513682047526,0.009265226562508774,0.9957546989123025,0.00075527883590786,0.9375185370445251,0.8823857307434082,0.9043991565704346,0.9731557369232178,0.9948523640632628,0.9305378794670104,0.8700989484786987,0.8914961218833923,0.9731557369232178,0.9940730333328248,0.9375246167182922,0.8823965787887573,0.902999222278595,0.97479510307312,0.994760036468506,0.935193677743276,0.004032040728039107,0.8782937526702881,0.007096910681690296,0.8996315002441406,0.0070801299288760075,0.9737021923065186,0.0009464884879464145,0.9945618112881979,0.000425803961269026,0.9298056960105896,0.868819534778595,0.8879358768463135,0.9758196473121644,0.9938371777534484,0.9374064207077026,0.8821871280670166,0.9139575362205504,0.9620901346206664,0.9954676032066344,0.9261320233345032,0.8624262809753418,0.8706709742546082,0.9891393184661864,0.992647647857666,0.9311147133509318,0.005750056854517977,0.8711443146069845,0.010083462717886307,0.8908547957738241,0.021790403334653412,0.9756830334663391,0.013525109396390799,0.9939841429392496,0.0014157104636619935,0.9368796348571776,0.8812545537948608,0.8843005299568176,0.9961065649986268,0.9934782385826112,0.94885915517807,0.902694582939148,0.9122541546821594,0.988524615764618,0.9952419996261596,0.9417937994003296,0.8899908065795898,0.8955830931663513,0.9930328130722046,0.9942063093185424,0.9425108631451925,0.006021865333126903,0.8913133144378662,0.010781024195472905,0.8973792592684428,0.014063105749479271,0.9925546646118164,0.0038135230442990975,0.9943088491757711,0.000886340268421253,0.04773933917797338,16347,342422,small
cju0vtox5ain6099360pu62rp,0.7812150120735168,0.6409785151481628,0.643252432346344,0.9945151209831238,0.9743055105209352,0.799717903137207,0.6662749648094177,0.6684350371360779,0.9951733350753784,0.9770037531852722,0.7974660992622375,0.6631548404693604,0.6656874418258667,0.9942957162857056,0.9767380356788636,0.7927996714909872,0.010095588419548378,0.656802773475647,0.013792721184942722,0.6591249704360962,0.01381450031869229,0.9946613907814026,0.00045672729873864854,0.9760157664616903,0.001487071950333697,0.8751322031021118,0.7779866456985474,0.7787852883338928,0.9986836314201356,0.986784815788269,0.9010225534439088,0.8198735117912292,0.8228467702865601,0.99561208486557,0.9900144934654236,0.8885141611099243,0.7993931770324707,0.8108254671096802,0.982667863368988,0.9893195033073424,0.8882229725519816,0.012947631184407995,0.7990844448407491,0.02094513963766343,0.8041525085767111,0.022776080208265635,0.9923211932182312,0.008499922496289765,0.9887062708536783,0.0016999250001831637,0.8362627029418945,0.7186009287834167,0.7229686379432678,0.9916630387306212,0.9822980165481568,0.8383057117462158,0.7216233611106873,0.7223103642463684,0.9986836314201356,0.9821140170097352,0.8350297808647156,0.7167820930480957,0.7173467874526978,0.9989030361175536,0.9816642999649048,0.836532731850942,0.0016545747169235835,0.7190021276473999,0.0024454425999833385,0.7208752632141113,0.003073424305911849,0.9964165687561035,0.004118139189328506,0.9820254445075989,0.00032601072539592454,0.8798988461494446,0.7855530381202698,0.7902183532714844,0.9925405979156494,0.9877250790596008,0.966205358505249,0.934620201587677,0.945412576198578,0.9879332780838012,0.9973426461219788,0.8905541300773621,0.8027017712593079,0.8087392449378967,0.9907854199409484,0.9890844225883484,0.9122194449106852,0.04705574267691368,0.8409583369890848,0.08156548548333566,0.8481233914693197,0.08476228498567363,0.9904197653134664,0.0023253228782654767,0.9913840492566427,0.005204864182664315,0.04454678123542912,14713,330282,small
cju13cgqmnhwn0988yrainhcp,0.9003933072090149,0.8188320994377136,0.8267892599105835,0.9883830547332764,0.9705777168273926,0.8846248388290405,0.7931185960769653,0.7985333800315857,0.9915227890014648,0.9644545912742616,0.9050655364990234,0.8265933990478516,0.8324766159057617,0.9915227890014648,0.9716484546661376,0.896694560845693,0.010710558986535279,0.8128480315208435,0.01752134156137021,0.8192664186159769,0.01817912735145352,0.9904762109120687,0.0018127264249225095,0.9688935875892639,0.003881383270598677,0.975624978542328,0.9524099826812744,0.9695372581481934,0.9817896485328674,0.9956167936325072,0.977016031742096,0.9550647735595704,0.9764032363891602,0.977629542350769,0.9966428875923156,0.9690921306610109,0.9400375485420228,0.9553809762001038,0.9832025170326232,0.993475377559662,0.9739110469818115,0.004230865529806638,0.9491707682609558,0.00802020919163595,0.9671071569124857,0.010719743461293143,0.9808739026387533,0.002897145941799806,0.9952450195948283,0.0016161503343004233,0.9735807776451112,0.948521614074707,0.9652804732322692,0.982025146484375,0.994981050491333,0.9687680006027222,0.9394277930259703,0.9486870765686036,0.989717423915863,0.9923934936523438,0.9220163226127625,0.8553156852722168,0.8612019419670105,0.9920722246170044,0.977280855178833,0.9547883669535319,0.02848325601857972,0.9144216974576315,0.05138885971359353,0.9250564972559611,0.05591858704019329,0.9879382650057474,0.005254521821381336,0.9882184664408366,0.009560197052769398,0.985881507396698,0.9721561670303344,0.977102756500244,0.9948194622993468,0.9966874718666076,0.9873555898666382,0.9750269651412964,0.9818379282951356,0.9929356575012208,0.9973901510238647,0.9129239916801452,0.8397977352142334,0.8463859558105469,0.9908163547515868,0.9744479060173036,0.9620536963144938,0.04255395560786093,0.9289936224619547,0.07725923955670051,0.9351088802019755,0.07687277442246478,0.9928571581840515,0.002002707945964745,0.9895085096359253,0.01304759654179428,0.12427880958232396,42478,341796,medium
