,dice_siglip2_frozen_42,dice_siglip2_frozen_43,dice_siglip2_frozen_44
dice_siglip2_frozen_42,1.0,0.9523697647142413,0.9595422373801316
dice_siglip2_frozen_43,0.9523697647142413,1.0,0.9413198692580218
dice_siglip2_frozen_44,0.9595422373801316,0.9413198692580218,1.0
