,dice_resunet_paper_42,dice_resunet_paper_43,dice_resunet_paper_44
dice_resunet_paper_42,1.0,0.7915156483978932,0.7746203254198996
dice_resunet_paper_43,0.7915156483978932,1.0,0.8064907580719202
dice_resunet_paper_44,0.7746203254198996,0.8064907580719202,1.0
