image_id,dice_resunet_paper_42,iou_resunet_paper_42,precision_resunet_paper_42,recall_resunet_paper_42,specificity_resunet_paper_42,dice_resunet_paper_43,iou_resunet_paper_43,precision_resunet_paper_43,recall_resunet_paper_43,specificity_resunet_paper_43,dice_resunet_paper_44,iou_resunet_paper_44,precision_resunet_paper_44,recall_resunet_paper_44,specificity_resunet_paper_44,dice_resunet_paper_mean,dice_resunet_paper_seed_sd,iou_resunet_paper_mean,iou_resunet_paper_seed_sd,precision_resunet_paper_mean,precision_resunet_paper_seed_sd,recall_resunet_paper_mean,recall_resunet_paper_seed_sd,specificity_resunet_paper_mean,specificity_resunet_paper_seed_sd,dice_siglip2_frozen_42,iou_siglip2_frozen_42,precision_siglip2_frozen_42,recall_siglip2_frozen_42,specificity_siglip2_frozen_42,dice_siglip2_frozen_43,iou_siglip2_frozen_43,precision_siglip2_frozen_43,recall_siglip2_frozen_43,specificity_siglip2_frozen_43,dice_siglip2_frozen_44,iou_siglip2_frozen_44,precision_siglip2_frozen_44,recall_siglip2_frozen_44,specificity_siglip2_frozen_44,dice_siglip2_frozen_mean,dice_siglip2_frozen_seed_sd,iou_siglip2_frozen_mean,iou_siglip2_frozen_seed_sd,precision_siglip2_frozen_mean,precision_siglip2_frozen_seed_sd,recall_siglip2_frozen_mean,recall_siglip2_frozen_seed_sd,specificity_siglip2_frozen_mean,specificity_siglip2_frozen_seed_sd,dice_siglip2_partial_42,iou_siglip2_partial_42,precision_siglip2_partial_42,recall_siglip2_partial_42,specificity_siglip2_partial_42,dice_siglip2_partial_43,iou_siglip2_partial_43,precision_siglip2_partial_43,recall_siglip2_partial_43,specificity_siglip2_partial_43,dice_siglip2_partial_44,iou_siglip2_partial_44,precision_siglip2_partial_44,recall_siglip2_partial_44,specificity_siglip2_partial_44,dice_siglip2_partial_mean,dice_siglip2_partial_seed_sd,iou_siglip2_partial_mean,iou_siglip2_partial_seed_sd,precision_siglip2_partial_mean,precision_siglip2_partial_seed_sd,recall_siglip2_partial_mean,recall_siglip2_partial_seed_sd,specificity_siglip2_partial_mean,specificity_siglip2_partial_seed_sd,dice_siglip2_full_42,iou_siglip2_full_42,precision_siglip2_full_42,recall_siglip2_full_42,specificity_siglip2_full_42,dice_siglip2_full_43,iou_siglip2_full_43,precision_siglip2_full_43,recall_siglip2_full_43,specificity_siglip2_full_43,dice_siglip2_full_44,iou_siglip2_full_44,precision_siglip2_full_44,recall_siglip2_full_44,specificity_siglip2_full_44,dice_siglip2_full_mean,dice_siglip2_full_seed_sd,iou_siglip2_full_mean,iou_siglip2_full_seed_sd,precision_siglip2_full_mean,precision_siglip2_full_seed_sd,recall_siglip2_full_mean,recall_siglip2_full_seed_sd,specificity_siglip2_full_mean,specificity_siglip2_full_seed_sd,foreground_fraction,foreground_pixels,total_pixels,lesion_size_group,gain
ck2bxqz3evvg20794iiyv5v2m,0.2300425171852111,0.1299706399440765,0.38960000872612,0.1632037460803985,0.9755051136016846,0.259708970785141,0.1492330580949783,0.7626565098762512,0.1565013378858566,0.9953343272209167,0.1618588715791702,0.0880557373166084,0.1978376656770706,0.1369526386260986,0.9468046426773072,0.2172034531831741,0.0501726185482767,0.122419811785221,0.0312798241494148,0.4500313947598139,0.2872177675633762,0.1522192408641179,0.0136393704701495,0.9725480278333029,0.0243996073258718,0.288926362991333,0.1688567698001861,0.895470380783081,0.1722520142793655,0.9980738162994384,0.3962679207324981,0.2470911145210266,0.9344125986099244,0.2514521777629852,0.9983091950416564,0.2852295339107513,0.1663368493318557,0.9130959510803224,0.1690125167369842,0.9984590411186218,0.3234746058781941,0.0630679526536348,0.1940949112176895,0.0459133496187999,0.914326310157776,0.0195002415347331,0.1975722362597782,0.0466895026571661,0.9982806841532388,0.0001941885511493,0.274014264345169,0.1587581187486648,0.916719615459442,0.1610813289880752,0.9985981583595276,0.248231753706932,0.1417035460472107,0.9357194900512696,0.1430965214967727,0.9990583062171936,0.2655221819877624,0.15308478474617,0.908023476600647,0.1554959714412689,0.9984911680221558,0.2625894000132878,0.0131390780226412,0.1511821498473484,0.0086850231534496,0.9201541940371196,0.0141638461502852,0.1532246073087056,0.0092050337528888,0.998715877532959,0.0003013383246663,0.2606107294559479,0.1498288661241531,0.9281805753707886,0.1515862345695495,0.9988763928413392,0.252470463514328,0.1444727778434753,0.9510948657989502,0.1455540657043457,0.9992830157279968,0.2653198540210724,0.1529503166675567,0.9556479454040528,0.1540437936782837,0.9993151426315308,0.2594670156637828,0.0065005976669453,0.149083986878395,0.0042875750659927,0.9449744621912638,0.0147210260979593,0.1503946979840596,0.004368488279003,0.9991581837336222,0.0002445661765513,0.0872492283950617,36184,414720,medium,0.04226356248060867
ck2bxw18mmz1k0725litqq2mc,0.5120618343353271,0.3441418707370758,0.9759339094161988,0.3470873832702636,0.9962300062179564,0.5647636651992798,0.3934987485408783,0.9595619440078736,0.4001341462135315,0.9925726056098938,0.5762025713920593,0.4046941995620727,0.9738502502441406,0.4091402590274811,0.9951609373092652,0.5510093569755554,0.03421102576042,0.3807782729466756,0.0322180695579308,0.9697820345560708,0.0089119637003491,0.3854539295037587,0.0335301568654187,0.9946545163790383,0.0018805561467004,0.2455171644687652,0.1399370580911636,0.9681108593940736,0.1405850797891616,0.9979602694511414,0.2959048748016357,0.173643410205841,0.9493167400360109,0.1752682626247406,0.9958783388137816,0.2598757743835449,0.1493432372808456,0.9580703973770142,0.1503257602453231,0.9971022009849548,0.2670992712179819,0.0259589005552075,0.1543079018592834,0.0173929716840438,0.9584993322690328,0.0094043989423817,0.1553930342197417,0.0178882291479737,0.9969802697499592,0.0010463074186131,0.2316680252552032,0.131009355187416,0.9444825053215028,0.1320260614156723,0.9965816736221312,0.2367583811283111,0.1342744976282119,0.9380804896354676,0.135475218296051,0.9960612058639526,0.2555275857448578,0.1464784294366836,0.9568911790847778,0.1474514603614807,0.9970740675926208,0.241317997376124,0.0125663133788458,0.1372540940841038,0.0081536225576311,0.9464847246805826,0.0095638470900053,0.1383175800244013,0.0080959865554131,0.9965723156929016,0.0005064957043053,0.2493258118629455,0.1424170285463333,0.9628516435623168,0.1432038843631744,0.9975664019584656,0.2335975766181945,0.1322448253631591,0.974894404411316,0.132696732878685,0.9984948039054872,0.3521861135959625,0.2137292921543121,0.979740560054779,0.2146780788898468,0.9980446696281432,0.2783698340257008,0.0644086693945375,0.1627970486879348,0.0444008839753072,0.9724955360094706,0.0086962521973186,0.163526232043902,0.0446092326194112,0.9980352918306986,0.0004642720119951,0.3056944444444444,96844,316800,large,-0.2726395229498546
cju87kbcen2av0987usezo8kn,0.3533510863780975,0.2145879864692688,0.2223187386989593,0.8605507612228394,0.8044595122337341,0.355605274438858,0.2162529826164245,0.2255622893571853,0.8397374153137207,0.812717080116272,0.3317969143390655,0.1988947987556457,0.2121739834547042,0.7606468200683594,0.8165339231491089,0.3469177583853403,0.0131434502493501,0.2099119226137796,0.0095773595850635,0.2200183371702829,0.006984308779647,0.8203116655349731,0.0527088150160799,0.811236838499705,0.0061718057463673,0.3102515637874603,0.1836081445217132,0.1895589679479599,0.8539865612983704,0.7628283500671387,0.3024433255195617,0.1781639158725738,0.1852907240390777,0.822446346282959,0.765095591545105,0.3051365613937378,0.1800360679626464,0.1853277832269668,0.8631123900413513,0.7535411715507507,0.3059438169002533,0.0039662188923039,0.1806027094523111,0.0027659931904082,0.1867258250713348,0.0024536436712327,0.8465150992075602,0.0213377327303225,0.7604883710543314,0.0061223183261544,0.3120169043540954,0.1848459839820861,0.190444216132164,0.8627921938896179,0.7617571949958801,0.3067105114459991,0.1811329573392868,0.1860187500715255,0.873358964920044,0.7517523765563965,0.2856613993644714,0.166630670428276,0.1710909754037857,0.8647134304046631,0.727863609790802,0.3014629383881886,0.0139393661284262,0.1775365372498829,0.0096254916788964,0.182517980535825,0.0101404399401212,0.8669548630714417,0.0056286923705368,0.7471243937810262,0.0174142886142476,0.3143737614154815,0.1865026503801345,0.1916634440422058,0.873839259147644,0.7606027722358704,0.3232305347919464,0.1927698105573654,0.1981815546751022,0.8759205937385559,0.7697963714599609,0.2882907092571258,0.1684226989746093,0.1731742769479751,0.8599103689193726,0.7333028316497803,0.3086316684881846,0.0181638810690394,0.1825650533040363,0.0126421502781791,0.1876730918884277,0.0129724002236975,0.8698900739351908,0.0087051061206565,0.7545673251152039,0.0189806369342306,0.0609392459215273,19088,313230,small,-0.038286089897155706
cju7dubap2g0w0801fgl42mg9,0.6405543684959412,0.4711879193782806,0.7792702913284302,0.5437608361244202,0.9477868676185608,0.6581637263298035,0.490494817495346,0.8056191802024841,0.5563355684280396,0.9544949531555176,0.6914198398590088,0.5283740758895874,0.9851598143577576,0.5326133370399475,0.9972801804542542,0.6633793115615845,0.0258307141060645,0.4966856042544047,0.0290913819653866,0.856683095296224,0.1120413606300659,0.5442365805308024,0.0118682692530418,0.9665206670761108,0.0268488426256685,0.4586515128612518,0.2975651025772095,0.9856252670288086,0.298862099647522,0.998522400856018,0.4671408534049988,0.304751306772232,0.981232225894928,0.3065381050109863,0.9980124235153198,0.4585539102554321,0.2974829375743866,0.9826362729072572,0.2990549802780151,0.9982085824012756,0.4614487588405609,0.0049297400504533,0.299933115641276,0.0041728781557504,0.9831645886103312,0.0022436668007032,0.3014850616455078,0.0043771264745789,0.9982478022575378,0.000257240879042,0.4504080414772033,0.2906623482704162,0.9884952306747437,0.2916489839553833,0.9988492727279664,0.4516167342662811,0.2916698753833771,0.989949107170105,0.2925361692905426,0.998993158340454,0.4372501373291015,0.2797953486442566,0.9906020164489746,0.2805400192737579,0.9990977644920348,0.4464249710241952,0.0079685892455354,0.2873758574326833,0.00658421315264,0.989682118097941,0.0010784706524132,0.2882417241732279,0.0066846068114453,0.9989800651868184,0.0001247622226739,0.4429281055927276,0.2844622135162353,0.9881159067153932,0.2854387760162353,0.9988362193107604,0.4408937990665436,0.2827862501144409,0.9957943558692932,0.2831243872642517,0.9995946288108826,0.431850403547287,0.2753885090351105,0.9901797771453856,0.2761427164077759,0.9990715980529784,0.4385574360688527,0.0058968478609019,0.2808789908885956,0.0048281732123677,0.9913633465766908,0.0039736976232844,0.2815686265627543,0.0048393671674352,0.9991674820582072,0.0003881900943003,0.2532133129043241,83293,328944,large,-0.22482187549273175
ck2bxiswtxuw80838qkisqjwz,0.5981233716011047,0.4266590774059295,0.9779894948005676,0.4307957291603088,0.9923145771026612,0.4659945368766784,0.3037763237953186,0.9846811294555664,0.305218756198883,0.9962360858917236,0.4599710404872894,0.2986768782138824,0.9683755040168762,0.3016188442707062,0.9921920299530028,0.5080296496550242,0.0780815578594683,0.3430374264717102,0.0724633456654661,0.9770153760910034,0.0081963428235986,0.3458777765432994,0.0735631283250729,0.9935808976491292,0.0023002767015472,0.4637145102024078,0.3018413782119751,0.9438453912734984,0.3073610365390777,0.9855044484138488,0.4635307788848877,0.3016856908798218,0.9522175192832948,0.3063230216503143,0.9878153204917908,0.462153673171997,0.3005200624465942,0.9532058835029602,0.3050199747085571,0.9881304502487184,0.4631329874197642,0.0008530718587371,0.3013490438461303,0.0007221268980802,0.9497562646865844,0.0051427652422431,0.3062346776326496,0.0011730286111911,0.9871500730514526,0.0014338364714436,0.4615204930305481,0.2999848127365112,0.9433910846710204,0.3054837882518768,0.9854694604873656,0.4617347717285156,0.3001659214496612,0.9629526138305664,0.3036727905273437,0.9907389283180236,0.4623446464538574,0.3006815910339355,0.965149700641632,0.3039819896221161,0.9912991523742676,0.4618666370709737,0.0004276079602794,0.3002774417400359,0.00036152811829,0.957164466381073,0.011978577979541,0.3043795228004455,0.0009687376633901,0.989169180393219,0.0032162724207728,0.4637797474861145,0.3018966317176819,0.9521849751472472,0.3065438866615295,0.9877978563308716,0.4621198177337646,0.3004914224147796,0.9645260572433472,0.303849458694458,0.9911416172981262,0.4640293717384338,0.3021082282066345,0.9500375986099244,0.3069855868816376,0.9872025847434998,0.463309645652771,0.0010379527563775,0.3014987607796986,0.0008787725556778,0.955582877000173,0.0078190895342544,0.3057929774125417,0.0016975639978413,0.9887140194574991,0.00212332534543,0.4423882076055989,142856,322920,large,-0.04472000400225318
cju32zhbnc1oy0801iyv1ix6p,0.8135496377944946,0.685700535774231,0.6893644332885742,0.9923085570335388,0.8488246202468872,0.8390616178512573,0.722744345664978,0.7331002950668335,0.980829417705536,0.879271388053894,0.822970986366272,0.6991934180259705,0.703294575214386,0.9917288422584534,0.8585466742515564,0.8251940806706747,0.0129004609537359,0.7025460998217264,0.0187481017498611,0.7085864345232645,0.0223429906812063,0.988288938999176,0.0064666344223881,0.8622142275174459,0.0155511937706418,0.7703152298927307,0.6264331340789795,0.6328321099281311,0.984114706516266,0.8069570064544678,0.730916440486908,0.5759403705596924,0.6277321577072144,0.8746955990791321,0.8246240019798279,0.79808509349823,0.6640112996101379,0.6812540888786316,0.9632821679115297,0.8476223945617676,0.7664389212926229,0.0337516860780509,0.6221282680829366,0.0441929976284147,0.647272785504659,0.0295389423034979,0.9406974911689758,0.0581006539185145,0.8264011343320211,0.0203908581728979,0.5888081789016724,0.4172417819499969,0.4184512794017792,0.99312025308609,0.5333673357963562,0.6204792261123657,0.4497788250446319,0.4509377777576446,0.994318425655365,0.5906804203987122,0.6618582606315613,0.4946099817752838,0.4967654347419739,0.9913036823272704,0.6604858636856079,0.6237152218818665,0.0366323949756364,0.4538768629233042,0.0388465574007872,0.4553848306337992,0.0393460155686001,0.9929141203562418,0.0015179055834631,0.5948445399602255,0.0636614871957492,0.5589668154716492,0.3878930807113647,0.390282392501831,0.984462559223175,0.4800266623497009,0.5584924817085266,0.3874363601207733,0.3887398540973663,0.9914196133613586,0.4729442000389099,0.5561373829841614,0.3851733207702636,0.3887034952640533,0.9769644141197203,0.4805493354797363,0.557865560054779,0.0015153201378804,0.3868342538674672,0.0014564245567509,0.3892419139544168,0.0009012642214754,0.9842821955680848,0.0072292872791806,0.4778400659561157,0.0042479905967007,0.2525175456125371,83402,330282,large,-0.2673285206158956
cju32qr9tbvsj08013pkpjenq,0.6429646611213684,0.4738010168075561,0.4809970259666443,0.9693907499313354,0.925270974636078,0.5528619289398193,0.3820381462574005,0.387904554605484,0.9619215130805968,0.8915581703186035,0.6029599905014038,0.4315982162952423,0.438130646944046,0.9666081070899964,0.911438524723053,0.5995955268541971,0.0451454903436657,0.4291457931200663,0.0459305659389666,0.4356774091720581,0.0465946975277932,0.9659734567006428,0.0037748457744175,0.9094225565592448,0.0169465745643536,0.7058640122413635,0.5454326868057251,0.5466163158416748,0.996045708656311,0.9409764409065248,0.8038851618766785,0.6720802783966064,0.6959083080291748,0.9515231251716614,0.9702946543693542,0.7145335078239441,0.555855393409729,0.5572682023048401,0.9954598546028136,0.9434980750083924,0.7414275606473287,0.0542632841054377,0.5911227862040201,0.0703046574547005,0.5999309420585632,0.0832892955625065,0.981009562810262,0.0255376841100424,0.9515897234280905,0.0162479380468418,0.770756185054779,0.6270164847373962,0.6308180093765259,0.990480363368988,0.9585862159729004,0.7044995427131653,0.543804943561554,0.5448938608169556,0.9963386058807372,0.9405474662780762,0.7347539663314819,0.5807201862335205,0.5851054787635803,0.9872583746910096,0.9499853253364564,0.7366698980331421,0.0331698471402899,0.5838472048441569,0.0416938104550084,0.5869391163190206,0.0429914118916245,0.9913591146469116,0.0046034554924604,0.9497063358624775,0.0090226104306388,0.8600026369094849,0.7543900012969971,0.7812873721122742,0.956356167793274,0.9808730483055116,0.3268926441669464,0.1953805536031723,0.1954365670680999,0.998535454273224,0.7063156366348267,0.489672988653183,0.3242165148258209,0.3242165148258209,1.0,0.8510860800743103,0.5588560899098715,0.2732055859881113,0.4246623565753301,0.2927283997092088,0.433646818002065,0.307874219256274,0.984963874022166,0.0247858198433175,0.8460915883382162,0.1373468302750483,0.0666845349772179,22392,335790,small,-0.04073943694432569
cju0sxqiclckk08551ycbwhno,0.8046122193336487,0.6730971932411194,0.6733001470565796,0.9995523691177368,0.977872371673584,0.8903633952140808,0.8023918867111206,0.8185060024261475,0.976051926612854,0.9901257753372192,0.270280659198761,0.1562569439411163,0.9577656388282776,0.1573410928249359,0.999683439731598,0.6550854245821635,0.3359975396302044,0.5439153412977854,0.3418896813604225,0.8165239294370016,0.1422431033907416,0.7109817961851755,0.4796108724918535,0.9892271955808004,0.0109332637689673,0.6720789074897766,0.506113588809967,0.5083792209625244,0.9912712574005128,0.9562655687332152,0.7645481824874878,0.6188409924507141,0.6229392886161804,0.98948073387146,0.9726749062538148,0.4744424223899841,0.3109960854053497,0.311475396156311,0.9950761198997498,0.899644672870636,0.6370231707890829,0.1481958721326571,0.4786502222220103,0.1557491543370321,0.4809313019116719,0.1575356476221489,0.9919427037239076,0.0028574842651002,0.9428617159525552,0.0383158087350977,0.4560523927211761,0.2953807413578033,0.2955962419509887,0.9975380301475524,0.8915472030639648,0.4081427156925201,0.2563940584659576,0.2564972341060638,0.9984332919120787,0.8679593801498413,0.6059076189994812,0.4346251785755157,0.4357766509056091,0.9939570426940918,0.9412857890129088,0.4900342424710591,0.1031688607542054,0.3287999927997588,0.0936974803240856,0.3292900423208871,0.0942694619668596,0.9966427882512412,0.0023686061945932,0.9002641240755717,0.0374323268463287,0.4410109519958496,0.2828826606273651,0.2829005718231201,0.9997761845588684,0.884378969669342,0.833800196647644,0.7149719595909119,0.715315580368042,0.9993285536766052,0.9818547368049622,0.6842830777168274,0.5200838446617126,0.5201444029808044,0.9997761845588684,0.9579197764396667,0.6530314087867737,0.1982507195112216,0.5059794882933298,0.2163896721683525,0.5061201850573221,0.2165483639282463,0.9996269742647806,0.0002584398103722,0.941384494304657,0.0507980606040495,0.0435061287871278,13168,302670,small,-0.002054015795389774
cju87xn2snfmv0987sc3d9xnq,0.8285554051399231,0.7072937488555908,0.7849148511886597,0.8773344159126282,0.9525914192199708,0.835985541343689,0.7181916832923889,0.8501808643341064,0.8222565054893494,0.971426248550415,0.8875853419303894,0.7978907227516174,0.9313489198684692,0.8477500677108765,0.987677276134491,0.8507087628046671,0.03215141205318,0.7411253849665324,0.0494612871257743,0.8554815451304117,0.0733608003651066,0.849113663037618,0.0275642630648819,0.9705649813016256,0.0175587777140643,0.9062864780426024,0.8286324143409729,0.9683203101158142,0.8517223000526428,0.9945050477981568,0.9089348316192628,0.8330710530281067,0.9801138043403624,0.8473943471908569,0.9966095089912416,0.8987436890602112,0.8161076903343201,0.913634717464447,0.8843303322792053,0.9835151433944702,0.9046549995740256,0.005287829248359,0.8259370525677999,0.0087970250531898,0.9540229439735411,0.0354708085179706,0.861148993174235,0.0201919205628929,0.9915432333946228,0.0070317039909408,0.9206729531288148,0.8530064225196838,0.9823193550109864,0.8663069605827332,0.996925175189972,0.8244245052337646,0.7012943625450134,0.7778595685958862,0.8769194483757019,0.9506155252456664,0.9143562316894532,0.8422249555587769,0.9807183146476746,0.8564059734344482,0.996679663658142,0.8864845633506775,0.0538383074821411,0.7988419135411581,0.0846504786546795,0.9136324127515156,0.1175854571796312,0.8665441274642944,0.0102587937711332,0.98140678803126,0.0266662983356648,0.6444213390350342,0.4753846526145935,0.507981538772583,0.881069540977478,0.8317140936851501,0.7526019215583801,0.6033374071121216,0.6069105863571167,0.9903361797332764,0.8735108375549316,0.5850512385368347,0.4134787619113922,0.4357277750968933,0.8900812268257141,0.7726958990097046,0.660691499710083,0.084952024352222,0.4974002738793691,0.096825058606332,0.516873300075531,0.0859371065491488,0.9204956491788228,0.0606512769985306,0.8259736100832621,0.0506520268346404,0.1649194052230413,52794,320120,medium,-0.1900172630945841
ck2bxpfgxu2mk0748gsh7xelu,0.6900997161865234,0.5268337726593018,0.8354140520095825,0.5878477096557617,0.991723358631134,0.6728657484054565,0.5070065259933472,0.8514119386672974,0.5562225580215454,0.9930626749992372,0.66766756772995,0.5011268854141235,0.8413087129592896,0.5534406900405884,0.9925395250320436,0.6768776774406433,0.0117418909053,0.5116557280222574,0.0134693103976519,0.8427115678787231,0.0080906795649071,0.5658369859059652,0.0191125264514731,0.9924418528874716,0.0006749792362259,0.6726416945457458,0.5067521333694458,0.8811669945716858,0.5439238548278809,0.9947577714920044,0.6740140318870544,0.5083115696907043,0.8917811512947083,0.5417276620864868,0.9953019022941588,0.6878702044487,0.5242394804954529,0.9109340906143188,0.5525622367858887,0.9961389303207396,0.6781753102938334,0.0084240166755613,0.513101061185201,0.0096776158716007,0.8946274121602377,0.0150862819272615,0.5460712512334188,0.0057276073295153,0.995399534702301,0.0006957362955086,0.666725754737854,0.5000664591789246,0.8447888493537903,0.5506588816642761,0.992769718170166,0.6653560996055603,0.4985270500183105,0.8537032604217529,0.5450951457023621,0.9933242797851562,0.686200737953186,0.5223025679588318,0.8842955827713013,0.5606149435043335,0.9947577714920044,0.6727608640988668,0.0116594016017274,0.5069653590520223,0.0133046957097591,0.8609292308489481,0.0207209189659048,0.5521229902903239,0.0078628074823926,0.9936172564824424,0.0010258974176215,0.6718849539756775,0.5058936476707458,0.8878999352455139,0.5404099822044373,0.9951239824295044,0.6774368286132812,0.5122150778770447,0.8830588459968567,0.5494875311851501,0.9947996139526368,0.6838381886482239,0.519569993019104,0.8984747529029846,0.5519765615463257,0.9955425262451172,0.6777199904123942,0.0059816461143734,0.5125595728556315,0.0068446777217479,0.8898111780484518,0.007883665595612,0.5472913583119711,0.0060880063144444,0.995155374209086,0.0003724496629728,0.0666988121340041,21994,329751,small,0.0008423129717508582
