method,method_label,n_images,mean_dice,median_dice,dice_ci_low,dice_ci_high,mean_iou,median_iou,iou_ci_low,iou_ci_high,mean_precision,median_precision,precision_ci_low,precision_ci_high,mean_recall,median_recall,recall_ci_low,recall_ci_high,mean_specificity,median_specificity,specificity_ci_low,specificity_ci_high,seed_mean_dice_sd,mean_per_image_seed_sd,failure_rate_dice_lt_0_10
siglip2_full,SigLIP2 Full,120,0.9013340931799677,0.9517026046911876,0.8743229953034056,0.9248460002553961,0.8447240791800951,0.9081262350082397,0.8112777123600243,0.8747403569757525,0.9170468197100692,0.9632535378138224,0.8929373270687129,0.9388578202761709,0.9210766579955816,0.9689029554526012,0.8920096442931228,0.9457044099954268,0.9808855046828587,0.9957785209019979,0.9692354112118482,0.9895777615490887,0.0026207075311609545,0.018760150841149712,0.0
siglip2_partial,SigLIP2 Partial,120,0.8812788012541002,0.9305604298909504,0.8545927856831502,0.9049922806966222,0.8115852799266576,0.8702220122019451,0.7787354115324301,0.8412110968513621,0.8942949654741419,0.9351550837357839,0.8696746441163123,0.9157494303170179,0.9072102080616685,0.9641168316205343,0.8759739761013122,0.9341220051598632,0.9811354767945079,0.9923618833223978,0.9718357406349646,0.9880760113439627,0.0038591597730478406,0.023656999079283446,0.0
siglip2_frozen,SigLIP2 Frozen,120,0.8745103373916614,0.9268716375033061,0.8460015714085765,0.9000518554055855,0.8023551293234857,0.8647533059120178,0.7683137837029064,0.8339186312646294,0.901472454932001,0.949967344601949,0.8748346321905651,0.9240698431142502,0.8903386429780059,0.9529702961444855,0.8586146286285171,0.9180103273120607,0.9847140898307164,0.9936812321345012,0.9785959888291027,0.9896299641827742,0.0010141198004415004,0.019229792005127495,0.0
resunet_paper,ResUNet,120,0.818149973070584,0.8932749529679617,0.782547173009731,0.8508282514486397,0.7326348113925184,0.8104221026102703,0.6916870333588379,0.7713218898864472,0.8739294298200144,0.9376968145370483,0.8438401063350547,0.9013226353201186,0.8354281582896224,0.9351950585842133,0.7951839719388238,0.8728281254366629,0.9822991419169637,0.9936550954977672,0.9766875904219019,0.9873716539475653,0.007221942674922358,0.05049198308316636,0.008333333333333333
