image_id,dice_a,iou_a,precision_a,recall_a,specificity_a,tp_a,fp_a,fn_a,tn_a,dice_b,iou_b,precision_b,recall_b,specificity_b,tp_b,fp_b,fn_b,tn_b,dice_difference_b_minus_a
ck2bxw18mmz1k0725litqq2mc,0.5762025713920593,0.4046941995620727,0.9738502502441406,0.4091402590274811,0.9951609373092652,12811.0,344.0,18501.0,70744.0,0.2555275857448578,0.1464784294366836,0.9568911790847778,0.1474514603614807,0.9970740675926208,4617.0,208.0,26695.0,70880.0,-0.32067498564720154
cju7dubap2g0w0801fgl42mg9,0.6914198398590088,0.5283740758895874,0.9851598143577576,0.5326133370399475,0.9972801804542542,13808.0,208.0,12117.0,76267.0,0.4372501373291015,0.2797953486442566,0.9906020164489746,0.2805400192737579,0.9990977644920348,7273.0,69.0,18652.0,76406.0,-0.2541697025299073
cju32zhbnc1oy0801iyv1ix6p,0.822970986366272,0.6991934180259705,0.703294575214386,0.9917288422584534,0.8585466742515564,25659.0,10825.0,214.0,65702.0,0.6618582606315613,0.4946099817752838,0.4967654347419739,0.9913036823272704,0.6604858636856079,25648.0,25982.0,225.0,50545.0,-0.1611127257347107
cju85plp7lmkw0850rx42jdpf,0.6523444652557373,0.4840587675571441,0.9363603591918944,0.5005255341529846,0.984958827495575,15714.0,1068.0,15681.0,69937.0,0.5177897214889526,0.3493362069129944,0.9985439777374268,0.3495142459869385,0.9997746348381042,10973.0,16.0,20422.0,70989.0,-0.13455474376678467
cju8clorgsuwn08714toqb7v6,0.9584540128707886,0.9202225208282472,0.9320928454399108,0.9863497018814088,0.9897828102111816,12573.0,916.0,174.0,88737.0,0.8830991983413696,0.790669322013855,0.8128917217254639,0.9665803909301758,0.9683669209480286,12321.0,2836.0,426.0,86817.0,-0.07535481452941895
ck2bxskgxxzfv08386xkqtqdy,0.9369859099388124,0.881442666053772,0.9241083264350892,0.9502274990081788,0.9940513372421264,6892.0,566.0,361.0,94581.0,0.8842684626579285,0.7925458550453186,0.8248985409736633,0.9528471231460572,0.9845817685127258,6911.0,1467.0,342.0,93680.0,-0.0527174472808839
cjyzkpsbjdsjq07211dfi4sru,0.9594152569770812,0.921996295452118,0.9337326884269714,0.9865506291389464,0.9982277154922484,2494.0,177.0,34.0,99695.0,0.9111913442611694,0.836870014667511,0.8379814028739929,0.9984177350997924,0.995113730430603,2524.0,488.0,4.0,99384.0,-0.048223912715911754
cju87kbcen2av0987usezo8kn,0.3317969143390655,0.1988947987556457,0.2121739834547042,0.7606468200683594,0.8165339231491089,4751.0,17641.0,1495.0,78513.0,0.2856613993644714,0.166630670428276,0.1710909754037857,0.8647134304046631,0.727863609790802,5401.0,26167.0,845.0,69987.0,-0.046135514974594116
cju16b6ynq8e40988m8vx0xnj,0.960943639278412,0.9248234033584596,0.9487577676773072,0.9734466075897216,0.9990150928497314,1833.0,99.0,50.0,100418.0,0.9164329767227172,0.8457556962966919,0.9708853363990784,0.8677642345428467,0.999512493610382,1634.0,49.0,249.0,100468.0,-0.0445106625556948
cjyzkmjy8evns070165gf9dmq,0.9043636918067932,0.8254232406616211,0.9705442190170288,0.8466325402259827,0.9972305297851562,8435.0,256.0,1528.0,92181.0,0.8601711988449097,0.7546494007110596,0.9880208373069764,0.7616179585456848,0.9990047216415404,7588.0,92.0,2375.0,92345.0,-0.044192492961883545
