method,mean_dice,sd_dice,mean_iou,sd_iou,global_dice,failure_rate
siglip2_full,0.9013340931799676,0.0026207075311609623,0.8447240791800951,0.005132359346572531,0.9024631685832273,0.0
siglip2_partial,0.8812788012541003,0.0038591597730477903,0.8115852799266577,0.006254659543110822,0.8834381536350389,0.0
siglip2_frozen,0.8745103373916613,0.0010141198004414691,0.8023551293234857,0.0018186998303062849,0.8768627308746945,0.002777777777777778
resunet_paper,0.8181499730705841,0.007221942674922352,0.7326348113925184,0.01042478595769715,0.8089397936800928,0.019444444444444445
