comparison,mean_resunet,mean_siglip,delta_dice,ci_low,ci_high,p_value,practical_ge_0.02
resunet_vs_siglip2_full_seed43,0.8098599482949346,0.902960213025411,0.09310026473047643,0.061119167728658115,0.1284892963118336,9.999000099990002e-05,True
resunet_vs_siglip2_full_seed42,0.8230779751864404,0.9027312162021796,0.07965324101573908,0.04539810942485547,0.11822933605468759,9.999000099990002e-05,True
resunet_vs_siglip2_full_seed44,0.8215119957303771,0.8983108503123124,0.0767988545819353,0.04710462762198101,0.11009653990902678,9.999000099990002e-05,True
resunet_vs_siglip2_partial_seed43,0.8098599482949346,0.8831864678611357,0.07332651956620126,0.042409820111083504,0.10679309452100157,9.999000099990002e-05,True
resunet_vs_siglip2_frozen_seed43,0.8098599482949346,0.8741636289904515,0.06430368069551698,0.036680586362804024,0.09472095713166954,9.999000099990002e-05,True
resunet_vs_siglip2_partial_seed44,0.8215119957303771,0.8838126204907895,0.06230062476041228,0.036275910972615656,0.09100696247218609,9.999000099990002e-05,True
resunet_vs_siglip2_frozen_seed44,0.8215119957303771,0.8756523421655099,0.05414034643513272,0.030005858687992465,0.08150119427879274,9.999000099990002e-05,True
resunet_vs_siglip2_partial_seed42,0.8230779751864404,0.8768373154103756,0.053759340223935075,0.023864092786582955,0.08699142956838908,0.0006999300069993001,True
resunet_vs_siglip2_frozen_seed42,0.8230779751864404,0.8737150410190224,0.05063706583258196,0.021771504955055813,0.0836703062094753,0.0010998900109989002,True
