lesion_size_group,candidate,n_images,foreground_fraction_min,foreground_fraction_median,foreground_fraction_max,resunet_mean_dice,candidate_mean_dice,mean_dice_difference,median_dice_difference,ci_low,ci_high
small,siglip2_frozen,48,0.00527294719758812,0.042381119833927006,0.07566837235073288,0.8285422790795565,0.868355521880504,0.0398132428009477,0.0023703177769978656,0.010987507172911954,0.06989796641282735
small,siglip2_partial,48,0.00527294719758812,0.042381119833927006,0.07566837235073288,0.8285422790795565,0.8817878069563045,0.053245527876747974,0.002568691968917791,0.02097382356490318,0.08795751778848672
small,siglip2_full,48,0.00527294719758812,0.042381119833927006,0.07566837235073288,0.8285422790795565,0.8976469062682656,0.06910462718870906,0.015675783157348633,0.035438766263218395,0.1072147875662065
medium,siglip2_frozen,36,0.08359395192556215,0.12339614902790513,0.16491940522304135,0.823953078477898,0.8986428926388422,0.07468981416094417,0.01757410168647766,0.031047568811724588,0.1324420789611232
medium,siglip2_partial,36,0.08359395192556215,0.12339614902790513,0.16491940522304135,0.823953078477898,0.899516725567756,0.07556364708985777,0.02062079310417181,0.03215210986478874,0.1326073960237179
medium,siglip2_full,36,0.08359395192556215,0.12339614902790513,0.16491940522304135,0.823953078477898,0.9157397093044387,0.09178663082654058,0.028952002525329534,0.03957648251078488,0.1607284485169755
large,siglip2_frozen,36,0.16964061996635288,0.29903658083630985,0.7187133401005354,0.7984904596513067,0.8585842028260231,0.06009374317471629,0.02025832732518512,0.011297246708569153,0.11315579058912892
large,siglip2_partial,36,0.16964061996635288,0.29903658083630985,0.7187133401005354,0.7984904596513067,0.862362202670839,0.06387174301953229,0.020722011725107847,0.01228080240112765,0.11935326024131088
large,siglip2_full,36,0.16964061996635288,0.29903658083630985,0.7187133401005354,0.7984904596513067,0.8918447262710996,0.09335426661979271,0.038085867961247855,0.03187878743090013,0.15719625146507665
