baseline,candidate,metric,n_images,baseline_mean,candidate_mean,mean_difference,median_difference,ci_low,ci_high,permutation_p,ci_excludes_zero,practical_dice_improvement
resunet_paper,siglip2_frozen,dice,120,0.818149973070584,0.8745103373916614,0.05636036432107722,0.009628623723983765,0.03237142060081371,0.08229215922206502,9.999000099990002e-05,True,True
resunet_paper,siglip2_frozen,iou,120,0.7326348113925184,0.8023551293234857,0.0697203179309674,0.017187535762786865,0.043834380584561995,0.09679854607703789,9.999000099990002e-05,True,
resunet_paper,siglip2_frozen,precision,120,0.8739294298200144,0.901472454932001,0.027543025111986533,-0.0016337931156158447,0.008318248199712905,0.04728096296131198,0.005599440055994401,True,
resunet_paper,siglip2_frozen,recall,120,0.8354281582896224,0.8903386429780059,0.05491048468838359,0.009624799092610714,0.027995440777091783,0.08447174301078386,9.999000099990002e-05,True,
resunet_paper,siglip2_frozen,specificity,120,0.9822991419169637,0.9847140898307164,0.0024149479137526657,-0.0005227426687876013,-0.0012851355680161053,0.006256866314344937,0.2191780821917808,False,
resunet_paper,siglip2_partial,dice,120,0.818149973070584,0.8812788012541002,0.06312882818351621,0.014910290638605772,0.038472404667463996,0.09011939668532774,9.999000099990002e-05,True,True
resunet_paper,siglip2_partial,iou,120,0.7326348113925184,0.8115852799266576,0.07895046853413927,0.025755365689595522,0.0503753494228824,0.10933643276950238,9.999000099990002e-05,True,
resunet_paper,siglip2_partial,precision,120,0.8739294298200144,0.8942949654741419,0.020365535654127596,-0.0026931663354238244,-0.0027377678754015,0.04528945001307875,0.09959004099590041,False,
resunet_paper,siglip2_partial,recall,120,0.8354281582896224,0.9072102080616685,0.07178204977204627,0.012905041376749693,0.04483270212283375,0.10131797998850026,9.999000099990002e-05,True,
resunet_paper,siglip2_partial,specificity,120,0.9822991419169637,0.9811354767945079,-0.0011636651224560175,-0.0007277031739552631,-0.008119808576173254,0.004731205954319909,0.7505249475052495,False,
resunet_paper,siglip2_full,dice,120,0.818149973070584,0.9013340931799677,0.08318412010938361,0.019510775804519653,0.05458727918712854,0.11467708759618482,9.999000099990002e-05,True,True
resunet_paper,siglip2_full,iou,120,0.7326348113925184,0.8447240791800951,0.11208926778757651,0.03201379378636676,0.07880909254801556,0.14677746829477178,9.999000099990002e-05,True,
resunet_paper,siglip2_full,precision,120,0.8739294298200144,0.9170468197100692,0.04311738989005486,0.005053102970123291,0.019021733210215143,0.06849273701405359,0.00039996000399960006,True,
resunet_paper,siglip2_full,recall,120,0.8354281582896224,0.9210766579955816,0.08564849970595928,0.013734827438990294,0.054929560466941134,0.12091382637268379,9.999000099990002e-05,True,
resunet_paper,siglip2_full,specificity,120,0.9822991419169637,0.9808855046828587,-0.0014136372341049946,0.00041239460309344667,-0.010516112161179376,0.005846275906595927,0.7826217378262174,False,
