run,mean_dice,std_dice,median_dice,mean_iou,global_dice,global_iou,failure_rate
siglip2_full_seed43,0.902960213025411,0.1498485361430434,0.9553025364875793,0.8477103906373183,0.9035760115075387,0.8241118590901353,0.0
siglip2_full_seed42,0.9027312162021796,0.14980936189287625,0.9551939964294434,0.8476640454183022,0.907597684669352,0.8308273169437994,0.0
siglip2_full_seed44,0.8983108503123124,0.14470750838062588,0.9487758874893188,0.8387978014846643,0.8962158095727911,0.8119484020023194,0.0
siglip2_partial_seed44,0.8838126204907895,0.15301708270533543,0.9412263631820679,0.816942584887147,0.8828370097065491,0.7902490660513696,0.0
siglip2_partial_seed43,0.8831864678611357,0.1439112613040108,0.9316288530826569,0.813101294140021,0.8864093582286241,0.7959921042607078,0.0
siglip2_partial_seed42,0.8768373154103756,0.1489922732209892,0.9297071397304535,0.804711960752805,0.8810680929699432,0.7874188656470957,0.0
siglip2_frozen_seed44,0.8756523421655099,0.15528248790221838,0.931399792432785,0.8044410875687996,0.8783145655279712,0.7830310874468962,0.0
siglip2_frozen_seed43,0.8741636289904515,0.15486470869031319,0.9252358376979828,0.8015225135100384,0.8738547189039223,0.7759697914405903,0.008333333333333333
siglip2_frozen_seed42,0.8737150410190224,0.15567314548078462,0.930039793252945,0.8011017868916194,0.87841890819219,0.7831969659691076,0.0
resunet_paper_seed42,0.8230779751864404,0.20881749065040947,0.916000485420227,0.7401598114036011,0.8183650793426172,0.692570154314111,0.025
resunet_paper_seed44,0.8215119957303771,0.2031447701667785,0.9047146141529083,0.7370090763085354,0.8136897107773616,0.6858995645317741,0.008333333333333333
resunet_paper_seed43,0.8098599482949346,0.2065153068201759,0.8930034935474396,0.7207355464654186,0.7947645909202995,0.6594268513295503,0.025
