image_id,dice_a,iou_a,precision_a,recall_a,specificity_a,tp_a,fp_a,fn_a,tn_a,dice_b,iou_b,precision_b,recall_b,specificity_b,tp_b,fp_b,fn_b,tn_b,dice_difference_b_minus_a
cju0sxqiclckk08551ycbwhno,0.8046122193336487,0.6730971932411194,0.6733001470565796,0.9995523691177368,0.977872371673584,4466.0,2167.0,2.0,95765.0,0.4410109519958496,0.2828826606273651,0.2829005718231201,0.9997761845588684,0.884378969669342,4467.0,11323.0,1.0,86609.0,-0.3636012673377991
cju15ptjtppz40988odsm9azx,0.9333750605583192,0.8750733137130737,0.891944408416748,0.9788420796394348,0.9924924373626708,5968.0,723.0,129.0,95580.0,0.6102901697158813,0.4391493201255798,0.4546404182910919,0.927997350692749,0.929524540901184,5658.0,6787.0,439.0,89516.0,-0.32308489084243786
cju7dxffn2eam0817qxosfwch,0.8729312419891357,0.7745146155357361,0.9649027585983276,0.7969667911529541,0.993872046470642,14241.0,518.0,3628.0,84013.0,0.597673237323761,0.4262011051177978,0.9959530234336852,0.4269405007362366,0.999633252620697,7629.0,31.0,10240.0,84500.0,-0.27525800466537476
ck2bxw18mmz1k0725litqq2mc,0.5120618343353271,0.3441418707370758,0.9759339094161988,0.3470873832702636,0.9962300062179564,10868.0,268.0,20444.0,70820.0,0.2493258118629455,0.1424170285463333,0.9628516435623168,0.1432038843631744,0.9975664019584656,4484.0,173.0,26828.0,70915.0,-0.26273602247238165
cju32zhbnc1oy0801iyv1ix6p,0.8135496377944946,0.685700535774231,0.6893644332885742,0.9923085570335388,0.8488246202468872,25674.0,11569.0,199.0,64958.0,0.5589668154716492,0.3878930807113647,0.390282392501831,0.984462559223175,0.4800266623497009,25471.0,39792.0,402.0,36735.0,-0.25458282232284546
cju7dubap2g0w0801fgl42mg9,0.6405543684959412,0.4711879193782806,0.7792702913284302,0.5437608361244202,0.9477868676185608,14097.0,3993.0,11828.0,72482.0,0.4429281055927276,0.2844622135162353,0.9881159067153932,0.2854387760162353,0.9988362193107604,7400.0,89.0,18525.0,76386.0,-0.19762626290321356
cju87xn2snfmv0987sc3d9xnq,0.8285554051399231,0.7072937488555908,0.7849148511886597,0.8773344159126282,0.9525914192199708,14798.0,4055.0,2069.0,81478.0,0.6444213390350342,0.4753846526145935,0.507981538772583,0.881069540977478,0.8317140936851501,14861.0,14394.0,2006.0,71139.0,-0.18413406610488892
ck2bxiswtxuw80838qkisqjwz,0.5981233716011047,0.4266590774059295,0.9779894948005676,0.4307957291603088,0.9923145771026612,19506.0,439.0,25773.0,56682.0,0.4637797474861145,0.3018966317176819,0.9521849751472472,0.3065438866615295,0.9877978563308716,13880.0,697.0,31399.0,56424.0,-0.13434362411499023
cju15l5ubz9yh0855b3ivdpse,0.8176386952400208,0.6915303468704224,0.8291979432106018,0.8063973188400269,0.9940102696418762,2874.0,592.0,690.0,98244.0,0.7084389925003052,0.5485137701034546,0.998978555202484,0.5488215684890747,0.9999797940254213,1956.0,2.0,1608.0,98834.0,-0.10919970273971558
ck2bxlujamu330725szlc2jdu,0.903911292552948,0.8246697783470154,0.829618513584137,0.9928186535835266,0.9919289946556092,3871.0,795.0,28.0,97706.0,0.8377035856246948,0.7207314372062683,0.9067822098731996,0.778404712677002,0.9968324899673462,3035.0,312.0,864.0,98189.0,-0.06620770692825317
